micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
et se? je voi  que vos aiez mestier de mon cors, je vos secorrai. » 	et si ie uoy  que uous ayez mestier ie uous secourray. 	Et se iou voi  que VOus aies mestier de moi  : ie vous secorrai.	et se uous aues mestier de moy ie uous secourray 	Et se ie uoi  que uous aiez mestier de moi ge uous secorrai. 	et ce uos auez mestier de moi: Ie uous cecorrai au plus tost 	e quando vos conellos vos conuatieredes  si viere  que vos es menester ayuda  luego vos aiudare 	e s’i' veggio  che voi abiate mistier di me, i' vo socoreròn. 
Lors fait aporter ses armes,  et quant il est armez et bien et bel,  si s’an vait dusqu’a la porte del chastel  et fait mener encoste lui son destrier,  puis monte as creniax  por veoir  conment cil defors assembleront a ceaux dedenz, et avez lui Lionnel.  Et li V. frere orent fait armer lor genz au mielz  qu’il pueent, 	Lors fait aporter ses armes  et quant il est bel et bien arme  si sen uait iucqua la porte du chastel et fait mener son destrier pres de luy.  puis monterent luy et lionel aux creneaux  pour ueoir  comment ceulx de dehors assembleront a ceulx de dedans  Et les u. freres eurent fait armes leurs gens au mieulx qu ilz peurent Puys yssirent contre leurs ennemys 	Lors fait aporter sez armes.  et sen arme bien et bel si sen uait iusques a la porte del castel  et fait mener dencoste lui son destrier. Il monte as kreniaus  pour ueoir  comment cil dehors assambleront a ceuls dedens  Et auec lui fu lyoniaus.  Et li. V. frere orent fet lor gent armer au miex  quil porent 	Lors fist apporter ses armes/  et quant il fut arme il sen ua iusques a la porte du chasteau  et fait mener empres lui son destrier  puis mente aux creneaulx  pour ueoir  comment ceulx de dedens assemblerent a ceulx de dehors.  Et les cinq freres auoient fait armer leurs gens 	Lors fet aporter ses armes.  Et quant il est armez et bel et bien.  si sen ret iusqua la porte du chastel et fet mener son destrier encoste lui.  puis monte as creniaus por ueoir  comment cil dehors assembleront A cil dedenz.  et auec lui lyonel. et li .u. frere. oreut fet armer lor gent. au miex  quil porent 	que ie porrai tant fait aporter ses armes enmi la place.  et quant il fu armez et bien et bel. Si sen ua deuant la porte del chastel.  et fait mener deuant soi son destrier  Si monte as creniax  por ueoir  comment cil dehors assanblerent a ciax dedens.  et auec lui furent li .u. frere  qui orrent fait lor gent armer.  et lyonnel au miex  quil port̶rent. si en issent hors. 	y luego fizo traer sus armas  y armaronse el y lionel y fueronse parala puerta del castillo  y fizieron traer sus cauallos a par de si  y ellos subieron ençima del muro  y pararonse entrelas almenas  por verlos de dentro como se mantenian contralos defuera  y los çinco hermanos fizieron armar su Compaña lo mejor que pudieron  y salieron fuera 	wAllor fa apportare sue armi,  e quand’egli è armato bene e bello,  si se ne viene infin qua alla porta del castello, e fa menare di costa lui su' destrieri;  poscia monta ne crinali per vedere  come que di fuori asembieranno a  que di dentro,  e con esso lui Lion.  E'sei fratelli ebono fatto armare lor gente al meglio  che possono, 
puis issent fors contre lor ennemis et les reçurent assez bien 	et les reculerent assez bien a ce 	puis issirent hors contre lor anemis.  si les rechurent assez bien a ce 	puis issirent centre leurs ennemis  si commencerent la meslee moult doulloureuse/ 	et puis issent hoirs contre lor anemis.  Et les recurent asez bien A ce 	et requierent lor anemis.  et le fissent assez bien a ce 	y fueron contrasus enemigos 	poscia uscirono fuori incontro loro anemici  e gli ricevettono assa' bene, 
a ce qu’il estoient poi de gent,  et li autre en avoient moult;  si conmancerent la mellee moult dolereuse 	qu ilz estoient pou de gens et lez autres en auoient molt.  si ont manits cheualiers occis 	quil erent poi de gent  et li autre en auoient moult  Si commencha la mellee moult grant et moult merueilleuse. 	dont il y eust maint ben cheualier mort  et enuerse a terre. ceulx du chasteau le faisoient bien 	quil estoient poi de gent.  et li autre en auoient molt.  si commencierent la meslee molt dolereuse. 	quil auoien pou de gent.  et li autre en auoient grant plante.  et commancerent la mellee mout fellenesse. et mout dolereuse 	e los de fuera los Resçiuieron muy bien ca heran muchos y esforçados  y entonçes se començo la vatalla muy dura e muy peligrosa 	acciò eh’egli erano poco di gente  e li altri n’avieno molta.  eSi comincia la battaglia molto dolorosa, 
dont il i ot maint chevalier mort et anversé a terre.  Si s’anfoïrent cil del chastel  tant que Gueheriez  et si dui frere vindrent a la bataille a tout grant planté de gent. 	et enuersez a terre. Ceulx du chastel sen foierent tous  car gaheries et ses deux freres uindrent a la bataille o grant gent. 	dont il y ot maint cheualier mort et uerse a terre.  si senfuirent cil del castel tantost comme Gaheries  et si frere y uindrent a la bataille 	quant gaheriet et ses deux freres lesquelz estoient de la part du duc uindrent a la bataille  atout grant plante de gens 	dont il y ot maint cheualier mort et enuerse a terre.  si sesforcierent cil du chastel tant que Gaħ.  et si diu frere uindrent a la bataille atout grant plente de gent. 	dont maint preudome et maint cheualier chairent a terre tuit enuers  Si soufrirent tant  et andurerent cil del chastel.  que gaheries et si dui frere uindrent a la bataille.  atot grant compaingni de gent. 	y muchos buenos caualleros fueron y muertos  y muchas dueñas fueron viudas e tanto fiçieron los de dentro fastaque a gariet  y sus hermanos vinieron ala vatalla consu compaña de caualleros 	dond’egli ànno molti cavalieri morti e versati atterra,  si soferirono que del castello  tanto che Gariet e suoi due fratelli venono alla battaglia a tutta gran quantità di gente. 
Si tost com il furent assemblé,  conmancerent a ferir et a abatre  ne onques puis ne se tindrent li .V. frere,  ainz les couvint foir,  ou il volsissent ou non :  si ont assez perdu a cele empainte. 	et si tost  qu ilz furrent assemblez commencerent a ferir et a abatre  ne onc pus ne se tindrent les u. freres  ains les conuint fouys a celle forz.	Car il commencierent a abatre et a ferir.  si que ce niert se merueilles non a ueoir.  Ne Onques puis quil vindrent.  ne se tindrent li. v. frere.  ainz lez conuint fuir.  ou il vousissent ou non.  Si ont asses perdu a cele assamblee. 	et si tost comme assemblez furent commencerent a ferir et a abatre cheualiers  ne oncques  puis ne se tindrent les cinq freres ains les cenuint fuyr uoulsissent ou non. 	Si tost comme il furent assemble  comme commencierent a ferir et a abatre.  ne onques puis ne se tindrent li .u. frere.  ainz les conuint foir  ou il uolsisent ou non.  si y ont assez perdu a cele empainte. 	Si tost comme il furent entre en la mellee  si commancerent a ferir tout entor eus. et abatre  quanquil ataingnent.  Ne conques puis ne se porrent tenir li .u. frere.  ains Les en couint foir.  ou il uosisent ou non.  Si i perdirent assez de lor homes a cel enpointe. 	y desque llegaron començaron a ferir  e a derriuar caualleros y tanto fiçieron en poca de / ora  que por fuerça ouieron de dexar los çinco hermanos el campo  y fueron al castillo mal desu grado 	MuSi tosto come i tre fratelli furono asembiati,  si cominciarono a fedire  e a battere, né unque poscia non si tenono i cinque fratelli,  anzi li conviene fuggire  o e” volessono o no,  si v’ânno assai perduto a quella impinta. 
Et quant Lanceloz vit  que li .V. frere furent desconfit,  si dist a Lion que or a il trop atendu ;  si descent des creniax et monte en son cheval 	Et quant lancelot uoit  que les u. freres sont desconfiz si dist a lion  que ores a il trop actendu  si descent des creneaux et monte a cheual 	Et quant lancelot vit  que li. V. frere furent desconfit. si dist a lyonel  que ore a il trop atendu.  Si descent maintenant des creniaus  et puis monte sor son cheual 	Et quant lancelot uist les cinq freres descenfiz:  si dit a lyennel  quif a trop actendu. Il descent des creneaulx 	Et quant lanc̃. uit  que li .u. frere furent desconfit si dist a lyon  que ore a il trop atendu.  si descent des carniaux.  et monte en son destrier.	quant lanc̃. uit  que li .u. frere estoient desconfit  si uint a lyonnel. et li dit  que or a il assez atandu.  Lors descent des creniax  et monte en son cheual. 	y alli perdieron muchos delos suyos y quando lançarote vio los suios ansi desuaratados  dixo a lionel cormano mucho attendemos  y luego desçendieron del muro 	MeE quando Lancelotto vide  ch’e cinque fratelli furono disconfitti,  si disse a Lyon  ch’ora à elli troppo soferto:  si discende de crinali  e monta in su destrieri, 
et Lion ausinc; 	et lion aussi 	et Lyoniaus sor le sien. 	et monte sur son destrier 	et lyon aussi. 	et Lyonnias monte el cien. 	y Caualgaron ensus cauallos 	e Lyon altresi, 
si s’an issent par mi la porte. 	si sen yssirent par la porte 	si sen issent de la porte.	et issist parmi la porte 	si sen issent parmi la porte. 	si sen issent par laporte. 	y salieron fuera 	si se n’uscirono per me la porta. 
Et Lanceloz ne resgarde onques fors la  ou il voit la greingnor presse ;  si torne cele part  et se fiert entr’aux et si fiert le premier 	et lancelot uait la  ou il uoit la plus grant presse si fiert le premier 	Et lancelot ne regarda Onques fors la  ou il vit la plus grant presse.  si torne cele part  et se fiert entreuls.  si fiert si le premier 	puis regarda  ou estoit la greigneueur presse  si tourna celle part et frappa si durement le premier 	Et lanc̃. ne garda onques. fors la  ou il uoit la greignor presse.  si torne cele part  et se fiert entreulz  et fiert si le premier 	et lanc̃. ni regarde onques ne mais  que la  ou il uoit la plus grant presse  si ce fiert et se torne entr eus.  si fiert le premier si durement 	y don lançarote no paro mientes sino donde vio la Mayor priesa  y dexose correr aellos  y firio al primero 	E Lancelotto non riguarda unque fôrse là  ove vide la maggior pressa,  si torna in quelle parti  e si fiede intra loro:  e fiede si 'l primaio 
qu’il ataint  qu’il le rue mort, 	qu il ataint  et le rue mort. 	quil encontre  quil labat a terre tout mort. 	quil encentra  quil le iecta mort a terre. 	quil ataint  quil le rue mort. 	quil le geste mort contre terre. 	que alcanço deguisa  que luego dio muerto conel en tierra 	ch’elli agiugne  ch’elli il ruga morto, 
puis point outre  et en abat I. autre, 	puis point oulte  et en abat ung autre 	puis point outre  si en rabat. j. autre. 	puie point oultre  et en abat ung autre: 	puis point outre  et en abat .i. autre. 	Puis point outre 	y luego firio a otro y matolo 	poscia pugne oltre  e n’abatte un altro; 
ausi fait Lion.  Et Lanceloz ot mise la main a l’espee  et il ert entalantez de faire d’armes,  car grant pieça n’en avoit riens fait; 	et aussi fait lion. et lancelot mist la main a lespee  et est fort entalente de faire armes  car pieca nen auoit fait 	Et aussi fist lyoniaus.  Et lancelot a mis la main a lespee.  et il ert entalentes de bien faire darmes.  quar grant piece auoit  quil nen auoit riens fait.	et aussi fist lyennel.  Apres lancelot mist la main a lespee 	et aussi fet lyon.  et lanc̃. ot mise la main a lespee.  et il ert entalentez de fere darmes  Car pieca nen auoit riens fet. 	et abat .i. autre. et ausi fait lyonnias. LOrs a mis lanc̃. la main a lespee. et fu entalentes de faire darmes.  et demoustre mout grant proesce et hardement. Car piesa ne sen nestoit entremis. 	otrosi lionel mato a otros dos caualleros  e don lançarote desque quebro su lança metio mano asu espada tajadora 	altresi fa Lion.  MsE Lancelotto ebbe messa la mano alla spada: egli era intalentato di far d’arme,  ché pezza ha non avea niente fatto; 
si conmance a ferir granz cox tout entor lui  et abat chevaliers et chevaux?  et occist quanqu’il encontre; 	si commence a ferir grans cops tout entour luy  et abat cheualiers et cheuaux  et quantqu il encontre.	Si commencha a ferir grans cops tout entour lui.  si abat cheualiers et cheuaus.  et ocist quamquil encontre 	si commence a ferir tout entour Il abat cheualiers et cheuaulx  et occist  quanquil encontre.	si commence a ferir granz colx tout entour lui. et abat cheualiers et cheualx.  et ocit quanquil encontre. 	Si coumance a ferir de lespee tout entour lui.  et ocit cheuaus et cheualiers  et abat  quanqu il ataint. 	y el hauia sauor de façer en armas y començo a matar y a ferir caualleros  e a quantos alcançaua  enguisa quelo non podian sufrir 	si comincia a fedire gran colpi tutto intorno lui,  e abatte cavalieri e cavalli, e uccide quanto ch’egli agiugne, 
si fait tant em poi d’ore 	si fait tant en pou deure 	Si fait tant en poi deure	Si fait tant en peu de heure 	si fet tant em poi deure 	Si fait tant en petit de terme 	y tanto fizo en poca de ora 	si fa tanto in poca d’ora 
que nus ne l’ose atandre,  car il occist  quanqu’il ataint.  Et la ou il encontre par aventure Gaheriet, 	que nul ne lose actendre.  car il occist  quantquil encontre.  Et il encontre dauanture gaheries 	que nus ne lose a cop atendre.  Et tant quil encontrà par auenture Gaheriet 	que nul ne le ose actendre.  Et la  ou il encontre par auanture gaheriet 	que mis ne lose atendre.  Car il ocist  quanqu il ataint.  Et la  ou il encontre par auenture. Gah. 	que nus  qui le uoie ne lose atandre a cop.  Car il uoient bien  qu il mehaingne  quanqu il ataint. 	que no / ouo ay talque su golpe osase attender  que bien entendian  que ninguno no le podia durar su golpe  y el andando ansi entre ellos fallose con gariet 	che nullo non l’osaattendere,  ch’egli uccide  quanto ch’eli agiugne.  E là  ov’egli incontrò per aventura Gariet, 
					Si auint par auanture 		
					qu il encontra Gaheriet.		
si li done tel cop par mi le hiaume  qu’il li fait santir dusque el test,  mais ne l’a mie navré a mort.  Et cil vole des arçons, 	et luy donne tel cop sur son heaume  quil luy fait sentir  iucquau test.  Mais il ne la pas naure a mort.  et cil uole des arcons	si li done tel cop desor son heaume  quil li fist sentir lespee iusques au testr  mais il ne la mie naure iusqua la mort  et cil vole ius dez archons a terre :	si lui denne tel coup parmi le heaume  qu il lui fait sentir lespee iusques au test.  Et celui uolle ius des arcons. Lancelot passe oultre si encontre le duc en son uenir/ 	si li donne tel cop parmi le hialme  quil li fet sentir dusques el test. mes ne la mie naure a  mort.et cil uole ius des arcons.	Si li done en son uenir si grant cop en son hiaume quil li fait sentir sespee iuques en test.  Mais ne la mie naure a mort.  et il uole ius des arsons  que del cop que de la plaie. 	e diole tan gran espadada porçima del yelmo  quele corto fasta el hueso 	si gli dona tal colpo della spada per me' l’elmo  ch’elli liel fa sentire infin qua alla testa,  ma no-ll’à mica fedito a morte.  E queli vola giuso di suoi arcioni,
					Dont il estoit si angoisseus 		
qu’il cuide bien morir. 	qui cuide bien mourir 	qui quide tout maintenant morir. 	car len lui auoit bien menstre.	Si quide bien morir. 	qu il en cuidoit bien morir. 	e dio conel muerto 	si crede ben morire. 
