micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
qui mes amis estoit chevalchions hui matin par mi cest chastel 	e uno cavaliere  che mio amico era cavalcamo oggi mattinetto 	et .i. cheualier qui mes amis estoit. cheuauchiens hui matin parmi cest chastelet illuec. 	qui mes amis estoit cheualchiemes parmi chest chastel. 	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez 	qui mon amy estoit cheuauchions parmi cest chasteau. 	e vn cauallero  que hera mi amigo pasamos poreste castillo 
et quant li freres a celui 	per me questo ricetto, e quando il fratello di colui 	et quant li freres a celui 	Et quant li freres a celui 	Et quant le frere a celuy 	Et quant le frere de celui 	e quando el señor del castillo hermano de aquel 
que vos avés abatu me vit,  si me volt a force prendre, 	che voi avete ora abatuto mi  vide, si mi volle a forza 	que uos aues ore abatu: me uit.  Si me uot a force prandre.	qui vous aues abatu me uit.  si me volt auoir  et prendre par force 	quie uous auez ores abatu me uit. si me uoult prendre a force 	que uous auez abatu me uist  si me uoulut auoir  et prendre a force: 	que vos derribastes me vido quisome prender afuerça 
kar il m’avoit molt longuement amee; si me prist al frain  et m’en volt mener a force, 	prendere, ché m’avea lungamente  amato; simmi prese al freno  e mi volle menare a forza, ma mio amico 	Car il mauoit mout longuement amee.  Si me prist et me uost mener a force 	quar il mauoit lonc tamps amee.  Si me prist au frain  et men volt mener a force. 	car il mauoit longuement amee  si me prist au fraing  et me uoult mener a force 	car il me auoit longuement aymee. Il print mon cheual  et men uoulut mener a force: 	e trabo del freno demi palafren  e quisome llebar 
		si tost comme il me tint au fraing. 				
mes mes amis se combati a lui  tant qu’il l’ocist.  Et quant cist 	si combatté tanto a-llui  che-ll’ucise.ME quando questo che voi avete 	Mais mes amis se combati a lui tant  que il locit.  et quant ciz 	Mais mes anis se combati a lui  tant quil locist.  Et quant chils cheualiers 	mais mon amy se combaty a luy  si loccist.  Et quant celuy 	mais mon amy se combatist a lui  tant qu il loccist.  Et quant celui 	e me vido mi amigo llebar conbatiose conel tanto  quelo mato 
que vos veez ci ore vit son frere mort,  si fist mon ami prendre a force de vilains et de gens  et l’ocist en venjance de son frere.  Mais de moi,  por cui Ses freres avoit esté ocis, dist il  qu’il se vengeroit sans main metre; si me fist prendre a ces ribaus 	qui ora abatuto vide suo fratello  morto, si fece mio amico prendere a forza di villani e di  genti,  e l’uccise in vendicanza di suo fratello. Ma di  me,  per cui suo fratello avea stato  morto, diss’elli  che-ssi vendicherebbe sanza in me mettere mano, si mi fece prendere a nfino a tre l rubaldi 	que uos ueez ore ci uit son frere mort :  si fist mon ami prandre a force de uilains et de gent.  Et locit en la uangence de son frere.  mais de moi p̾  cui ses freres auoit este ocis dist il  quil sen uangeroit sans main mestre.  Si me fist prandre a ses .iiii. uilains 	que vous uees chi vit son frere mort. si fist mon ami prendre par force de vilains. et locist por uengance de son frere  quil auoit ochis.  Et dist  quil se vengeroit de moi sans main metre. et me fist tantost prendre a ches. iiij. ribaus 	que uous auez ores cy abatu uit son frere mort  si fist prendre mon amy a force de uilanis et de gens.  si loccist on uengence de son  frere.Mais il dist  quil se uangeroit de moy pour qui son frere auoit este occis sans main mectre si me fist prendre a ces quatre ribaux 	que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens et de uillains/  et loccist en uengance de son frere  et dist quil se uengeroit de moy sans main mettre.  Si me fist prendre par ces quatre ribaulx 	e quando aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente e de villanos  e matolo en enmienda dela muerte desu hermano  e dixo que demi se vengaria el seguramente porque fui ocasion dela muerte de su hermano entonçe fiço tomar aquellos quatro villanos 
que vos veistes	che vo' vedeste 	que uos ueistes 	que vous ueistes ore. 	qui uous ueistes 	que uous auez ueu	que vos vistes 
et lor commanda  qu’il me noiaissent, « 	e loro comandò  che  m’anegassono, ché per mano di 	si lor coumanda  quil me noiassent. 	et lor commanda  quil me noiassent. 	et leur commanda  quilz me noyassent. 	et leur commanda  quilz me noyassent/ 	e mandoles que me matasen en aquel agua 
kar par armes, dist il,  ne vueil je mie 	persona, 	Car par hommes ne uoeil ge gaie fait il quele morit. 	Car par armes dist il ne voeil iou mie 	Car par armes fist il ne uueil ie pas 	car par armes ne uueil ie pas 	ca por armas no me queria matar 
qu’ele muire » ; si m'enmenoient,  si com vos veistes, morir 	diss’elli, non voglio ch’ella muoia». i-mmi menavano, insi come vo  vedeste, per fare  morire, 	Si [cum] amenerent ainsi  com uos ueistes [raqrir] 	que elle muire. Si me menoient ensi  com vous ueistes  por noier 	quelle meure.  si me menoient pour mourir ainsi  comme uous ueistes 	que elle meure.  Si me emmenoient ainsi comment uous auez ueu pour noyer 	e ellos me mataran sin falta 
quant vos me venistes secorre par la volenté de Dieu et par la vostre.  Or vos ai conté mon errement ;  si voldroie des Ore mes, 	quando vo mi veniste a soccorrere  per la volontà di Dio e della  vostra. Or vo ho contato tutta mia ventura, si vo vorre' da 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. Sire fait la damoisele a beħ. Or uous ai conte mon errement.  Si uorroie desormais 	quant vous me uenistes rescorre par la volente de dieu et la vostre. vous ai conte mon errement  si volroie 	quant uous me uenistes secourir.  par la uoulente de dieu et par la uostre  Or uous ay tout comte mon criement.  si uoudroye desormais 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre. Or uous ay toute compte ma fortune/  si uouldroie 	si vos porla voluntad de dios  e porla vuestra no me acorrierades agora vos  e contado todo mi acaesçimiento 
se vostre plaisirs estoit,  que vos me menissois a salveté en un mien chastel  qui est ci pres. — Volentiers », fet il. 	oggimai, se vostro piacere  fosse, pregare che vo' mi conduceste a salvamento in uno mio castello ch’è qui presso. — Volentier. disse elli». Si-lla prende per lo braccio e la monta davanti a sé sopra il corpo di suo 	se uostres [puisses] estoit :  que uos me menissiez a sauuete en .i. mien chastel  qui est ci pres. uolentiers damoisele Sire a 	se vostre volentes y estoit  que vous me metissies a sauuete. En vn mien castel  qui est pres de chi. volentiers fait il 	si uostre plaisir estoit  que uous me menez a sauuete en ung mien chastel  qui est cy pres. uoulentiers fait il 	se uostre uoulente y estoit  que uous me menissez a sauuete en ung mien chasteau  qui est cy pres. Voulentiers dit il. 	como me contesçio e querria que me llebasedes a vn mi castillo  que es çerca de aqui 
Si le prent par les bras  et le monte par devant lui sor le col de son cheval,  si a geté son escu derieres son dos,  si s’en vet cele part 	cavallo, si getta suo scudo di dietro suo  dosso, si se ne va in quelle parti ove la damigella gli 	si la prent par le bras  et la mest deuant lui sur le col de son cheual.  Si ageste erranmet son escu derier son dos.  Si sen ua cele part 	et il le prent maintenant par les bras  et le met sor le col de son cheual. et met son escu derriere son dos.  si sen torne cele part 	si la prent par les braz et la monte deuant soy sur le col de son cheual. si a gecte son escu derriere son dos.  et sen uait celle part 	et il la prent par le bras  et puis la met sur le col de son cheual/  si a iecte son escu derrier son dos:  et puis tourne celle part la 	si vos plaze de GraDo dixo boores  e luego echo su escudo alas espaldas  e tomola Porel braço e pusola antesi Ensu caballo  e fuese ansi conella 
ou la damoisele li enseigne tant  que ce vint aprés midi	'nsegna, tanto che ciò venne apresso di mezodi 	ou la damoisele li ensangne.  Si cheuaucherent ainsi tant  que ce uint apres midi. 	ou la damoisele lenseigne  Tant que chou vint apres miedi 	ou la damoisele luy enseigne.  tant que ce uient apres medoy 	ou la damoiselle lui enseigne tant  que uint aprez midy 	por do ella lo yria guiando fasta medio dia 
qu’il voient en un tertre I. bel a chastel, 	che vegono davanti  loro, in uno 	et lors uirent deuant aux en lor chemin .i.  tertre.Ou il auoit .i. tres bel chastel. 	que il virent deuant euls vn moult bel castel. 	quilz uoyent deuant eulx en ung tertre ung meoult bel chastel 	que ilz uirent deuant eulx ung moult beau chasteau: 	Que vieron vn muy fermoso castillo 
et lors ataignent Il. escuiers  qui issoient d’un bossel  et aportoit chescuns venoisons trosee detriers soi. 	poggio, uno castello molto bello. Allora agiungono due scudieri  che uscivano d’uno boschello e aportavano amenduni cacciagione torsata di dietro a llui. E quand’e' vidono la 	et lors ataignent .ii. escuiers  qui issoient dun boschet.  et aportoit chascuns uenison trossee douant soi. 	Et lors ataingnent. ij. escuiers a lentree dun boskel et portoit cascuns venison torsee derriere lui. 	et lors actaignent deux escuiers qui yssoient dung boys  et chascun aportoit uenoison troussee derriere soy. 	et lors attaignent deux escuiers a lentree de ung petit boix  et portoit chacun uenoisen derrier lui troussee.  Et	e alcançaron dos escuderos ala salida devn monteçillo  que traia cada vno vn corço atroxado trassi 
Quant il virent la damoisele,  si descendent a pié 	damigella, si discenderono immantanente a ppiè 	et quant il uirent la damoisele  qui beh̾ auoit deuant luy si sont dessendu a pie 	Et quant il voient la damfolisele  si descendent a pie 	Et quant ilz uirent la damoisele  si descendirent a pie 	quant ilz uirent la damoiselle ilz descendirent a pie 	e desque vieron la donçella desçendieron apie  e fueron 
et li font grant joie com a celi  qui lor dame estoit  mais molt  se merveillent de ce  qu’il la virent plorer:  si li enquierent que ele a.  Et ele lor dit 	e gli fanno grande gioia come a colei che loro dama era, ma molto si maravigliarono di ciò  che lla vidono  impiagnendo. Si-lla inchiesono  ch’ell’avea, ed ella lor disse 	et li font la plus grant ioie dou monde a cele  qui leur lige dame estoit Mais mout se merueillent  quant il la uirent si plorer. et plus de son ami  que il ne uerent pas mandent  que ele a.  et ele lor dit 	et li font si grant ioie  comme a celui  qui lor dame estoit. mais moult sesmerueillent de ce  quil la voient plorer.  si li demandent  que elle a.  Et elle lor conte 	et luy font moult grant ioye  comme a celle qui leur dame estoit.  mais moult se merueillent de ce quilz la uirent plourer.  si luy enquierent  quelle a. et elle leur comte 	et lui firent si grant henneur et si grant ioye  comme a celle  qui leur dame estoit:  mais moult se merueillent de ce  qu ilz la uoient plourer:  si demandent  que elle a.  et elle leur compte 	e fezieron gran alegria conella  como aquella que hera su señora mas mucho se marauillaron  porque la vian ansi venir  e preguntaronla que auia  e ella les conto 
comment ses amis avoit esté ocis, «  et je meismes euisse esté morte. se ne fust cis frans chevaliers 	come suo amico era stato ucciso, «ed io medesima, diss’ella, fosse stata  morta, se non fosse questo franco cavaliere 	et conte coment ueuir auecques li.  Si li en quierent et de ses amis auoit este ocis. au chastel  ou il trespasoient. Sire meismes fait ele eusse este morte :  Ce ne fust ciz frans cheualiers ci. 	comment sez amis  auoit este ochis.  et iou meisme eusse este ochise.  se ne fust cils frans cheualiers 	comme son amy auoit este occis.  Et ie mesmes fait elle feusse morte  se ne fust ce franc cheualier 	comment son amy auoit este occy/  et moy mesmes eusse este occie  se ne feust ce franc cheualier 	como su amigo hera muerto  e dixo yo mesma fuera muerta sino fuera por aqueste buen cauallero 
qui par sa debonaireté me resqueust  et se mist em peril de mort  por ma vie sauver. » 	che per sua dibonarità mi  riscosse,  si si misse in periglio di morte  per mia vita salvare». Allor si consiglia con l’uno, 	qui par sa debonairete et par sa franchisse marescosse des mains a mes anemis et se mist en peril de mort  por moi sauuer. et se ne lauoie ie pas deserui.  et diex doint  que ie li puisse guerredoner. 	qui par Sa debonairete ma rescousse.  et se mist en peril de mort pour moi sauuer. 	qui par sa debonairete ma rescousse. et sest mise on peril de mort  pour sauuer ma uie.	qui par sa debonnairete ma rescousse et sest mis en peril de mort  pour moy sauuer.	que me libro  e se metio en peligro de muerte  Por me librar 
Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	e quelli iscioglie immantanente sua cacciagione  e la dona a suo compagnone 	Lors conseille maintenant la damoisele a .i. des escuiers. 	Et lors conseilla elle a. j. de ses escuiers 	Et lors conseille a lun 	Et lors elle parle a conseil a ung des escuiers	e luego destroçaron el vn corço  e pusieronlo enel Palafren 
si la baille a son compaignon por porter, 	per  portarnela, 	et il destrore maintenant sa uenisson et la baille a lautre por portee 	Et cil destorse tout maintenant sa venison et le baille a porter a son compaignon 	et cil baille sa uenoison a porter a son compaiguon. 	et celui se destrousse maintenant de sa uenoison et la baille a porter a son compaignon 	e ymbiaronlo al castillo conel vn escudero  e pusieron ala donçella enel otro 
si s’en vet vers le chastel 	si se ne va inverso il castello 	Si sen ua uers le chastel 	et sen vait vers le castel 	si sen uait uers le chastel 	et sen ua uers le chasteau 	e fueronse contrael castillo 
quanqu’il puet traire del roncin.  Et Boors demande a la damoisele 	quanto che può trarre del ronzino. eE Boordo domanda alla damigella 	quanque il puet de roncin traire et behors demande a la damoisele 	quanque il pot del ronchi traire.  Et bohors demande a la damoisele 	tant quil puet traire du roucin.  Et boort demande a la damoisele 	tant quil peut courir atout son roussin.  Et boort demande a la damoiselle 	quanto podian  e boores pregunto ala donçella 
