	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
							ma e” nolla crede già avere ritratta a tempo, 
142	tant le trova chaude 	car il la trouua si chaude 	mais il ne le quida ia a tamps rauoir ostee.	car tant la trouua chaude 	Car tant la troua chaude 	ca ella fallo tan caliente 	ché tanto la trovò calda
143|144|145	qu’il cuide bien avoir la main perdue a tos jors mes. « Sire chevaliers, fet la damoisele, |ore savés |quele anguoisse je sueffre. — 	quil cuide bien auoir perdu la main a tousiours mais. Sire cheualier fait la damoisele |or scauez uous |quelle angoisse ie seuffre. 	quar il quida la main auoir perdue Sire cheualiers fait elle. |or saues vous bien |quele dolour iou sench EN ceste maniere |que vous oies senti mesires Gauuain 	quil cuida bien auoir la main perdue a tousioursmais. Sire cheualier fait elle |or sauez uous quelle angoisse ie seuffre. 	quil cuide bien auoir la main perdue a tous iors mais. Sire cheualiers fait ele or sauez quel angoisse ie sueffre. 	que vien la cuido hauer perdido para todos los dias desu vida |señor cauallero dixo la donçella |agora veredesvos |que cuita yo sufro çierto 	ch’elli crede bene aver la man perduta a tutto giorno mai. Sire cavaliere, disse la damigella, |or sapete bene qual pena i' soffero. |—
			que la damoisele soffroit grant torment et grant dolor. 				
146	Certes, damoisele, fet il, ie ne voi pas 	Et certes damoisele fait il ie mesbahis 	Si li dist. |Certes damoisele iou ne sai 	Certes fist il damoiselle ie ne cuide pas 	Certes damoisele fait il ie ne uoi mie 	donzella dixo don galuan |yo non veo 	Certo, damigella, diss’elli, |i' non veggio mica 
147	comment vos puissiés durer. — 	comment uous pouez durer. 	comment vous puissies longuement durer en tel paine. 	que uous uiuez longuement. 	coment uos puisiez durer. 	como luengamente podades durar 	come voi possiate durare. |—
148|149	Par foi, fet ele, |se je puisse morir par travail, je fuisse pieça morte.	Certes fait elle |si ie pouoye mourir |pour trauail ie feusse pieca morte. 	par foy sire fait elle se iou peusse morir pour trauail. iou fuisse piecha morte. 	Pour quoy fist elle. |pource dit monseigneur gauuain 	Par foii fait ele|ce ie ie poisse morir |por traual ie fusse or morte piesa.	por buena fee dixo ella |si yo pudiese morir |por trabajo ya pieça ha 	Per fé, sire, diss’ella, |s’i' potesse morire per travaglio, io fosse peza ha morta; 
						que seria muerta 	
150	Mais a Damedieu ne plaist encore, 	Mais|a dieu ne plaist pas 	Mais diex ne veult mie |que iou muire encore. 	que uous souffrez trop de doulleur. Il ne plaist pas encores a dieu dit elle |que ie meure 	mais a damedieu ne plait. 	mas no plaze ala madre de dios 	ma a Domenedio non piace ancora, 
151|152	lar il ne s’est pas encore vengiés d’un grant pechié |que je fis ja, 	car il ne sest pas encor uengie du grant pechie |que ie feis pieca 	Car il ne sest mie bien uengies dun pechie |que iou fis iadis. 	car il nest pas encenres bien uengie de ung pechie |que iay fait 	Car il ne set pas Encore bien uangies dun pichiet |que ie fis. 	ca no se tiene por vien vengada devn pesar quele fize dias ha 	ché non s’è mica ancor ben vesnldicato del gran peccato |ch’io feci, 
153|154	por quoi je sueffre ceste anguoisse |et cest torment. 	dont ie seuffre ceste angoesse et ce tourment. 	porcoi iou sueffre ceste dolor|et cest trauail. 	par quoy ie seuffre ceste angoisse|et ceste doulleur. 	par quoi ie suffre ceste angoisse|et cest torment. 	porque yo sufro esta cuita y este tormento 	per ch’io soffero questa angoscia e questo tormento. 
155|156	Mais or vos en poés aler, sire chevaliers, |quant vos plaira, 	Mais ores uous en pouez aller sire cheualier |quant il uous plaira 	Si vous en porres aler de chi |quant il vous plaira 	Mais or uous en pouez aller dicy |quant il uous plaira 	Mais or uaos en poes aler |quant uos plaira	mas agora vos podedes yr deaqui |quando vos pluguiere 	Ma or vo ne potete andare f quando vo ne piacerà. 
157|158|159|160|161|162|163|164|165	kar de moi oster de ci est ce noiens, |puis que vos avés failli, |ne de mon estre ne savrois vos pius. |Et il s’en vet maintenant, |quant il voit |que plus n’en porra trere a ; |si s’en vet al mestre palés.|Et vaslet saillent encontre lui plus de X. |por Iui descendre; 	car de moy oster de cy cest pour neant|puis que uous y auez failly |ne de mon estre neu scaurez uous plus. |et il sen uait maintenant |quant il uoit que plus nen puet faire . |et sen uait au maistre palais et uarletz saillent encontre luy plus de .x. |pour le descendre 	Car il me samble |que ce de moi oster de chi est il noiens. |tant sen part mesire Gauuain |et sen uait droit au maistre palais. |et uallet saillent encontre lui plus de. XX.	puis que uous y auez failli: |ne de mon estre ne saurez uous riens. |Et adonc monseigneur gauuain sen part/ |si sen ua au maistre pallais, |et uarletz saillent contre lui plus de uingtz pour le descendre/ 	Car de moi oster est il noians |puis que uos i aues failli ne de mon estre ne saurois uos plus. |et il sen ua maintenant |quant il uoit |quil nen porra plus traire. |Si sen ua au mestre chastel |et uallet saillent encontre lui |por lui descendre.	ca demi fazienda no sabredes mas pues hauedes aqui fallesçido |e don galuan se fue ende |luego desque vido |que mas non podia saber ende della |e fuese contravn gran palaçio |e luego salieron ael mas de veinte escuderos quele fizieron desçender del cauallo 	ché di me “tradir |qui est elli niente,|poscia che vo' ci avete fallito, |né di mio essere non saprete voi or piü». |Ed e'se ne vaimmantanente, |quand’e vede |che più non ne potrà trarre, |si se ne va insin qua al mastro palagio. |E'valletti salgono incontro a llui più di diece |per lui discendere,
166	si li establent son cheval b 	et luy establent son cheual 		et mettent le cheual en lestable 	Si li establent son cheual. 	quelos vnos le pensaron el cauallo 	si-lli stallano suo cavallo, 
167|168	et le mainent |et palés en haut por desarmer. 	et le mainnent en hault ou palais |pour le desarmer.	si le mainent el palais amont pour desarmer. 	et mainent monseigneur gauuain amont pour le desarmer. 	et le mainnent en haut por lui desarmer. 	y los otros le metieron enel palaçio 	e l menano nel palagio in alti per disarmare: 
169|170|171|172	Si i trueve mesire Gauvain grantt plenté des plus bials chevaliers |qu’il onques mes veist en nule terre; |si se drecent e tuit encontre Iui, |si tost com il le voient venir 	si treuue messire gauuain grant plante des plus beaux cheualiers |quil eust oncquez ueu en nulle terre. |si se drecent tous encontre luy si|tost quilz le ueoient uenir 	Si troua mesires Gauuain asses de cheualiers laiens |qui se drechierent encontre lui |si tost comme il le virent uenir. 	Si trouua menseignent gauuain grant plante de cheualiers |qui se dresserent encontre lui |si tost comment ilz le uirent uenir 	Si trueue messires .G. grant plante des plus biax cheualiers |quil onques ueist en nulle tͤre. |Si se drescet encontre lui |si tost|comme il le uoient uenir. 	porlo desarmar |e luego vinieron contrael gran compaña de caualleros ansi como lo vieron 	i trovò monsignor Galvano gran quantità di cavalieri |che si dirizarono tutti incontro a llui |si tosto com’elli il vidono venire, 
173	et li dient 	et luy dient 	et li distrent 	et lui dient 	et li dient 	e dixeron 	e gli dicono 
174	que bien soit il venus, 	que bien soit il uenu 	que bien fust il uenus. 	que bien soit il uenu 	que bien soit il uenus. 	bien seades vos venido 	che ben sia elli venuto, 
175	et il les encline tos. 	et il les encline tous. 	Et il encline a tous. 	Et il dist|que dieu les benie tous, 	et il les encline tous. 	e don galuan se humillo a todos 	ed e'gli nchina tutti. 
176	Et l’en li fet oster ses armes 	Et len luy fait oster ses armes 	Et on li fait oster ses armes. 	apres len lui fait oster ses armes	et lan li fait oster ses armes. 	y entonçes lo desarmaron 	E l’uomo gli fa trarre sue armi, 
177|178|179|180|181|182|183|184|185	et li baillent une molt riche robe a vestir, |puis l’asieent devant els |et li demandent |dont il est, |et il dist |qu’ill est del roialme de Logres et de la maison le roi Artu. |Et lors li font il la greignor joie del monde |et li demandent noveles de la cort: |et il lor dist teles 	et luy aportent une moult riche robe a uestu |puis lassient deuant eulx ce luy demandent nouuelles de la court. |Et il les leur dit telles |conle il les sceit. |A ces paroles uint leans ung grant cheualier 	puis ll font uestir vne moult riche reube. |si le font assfeo ir dencoste aus |et li de mandent |dont il est. |Et il dist del royaume de logres et de la maisnie le roy artu |Lors li font li cheualier le plus grant ioie |quil pueent.|et li demandent noueles de la maison le roy artu. |et il lor dist teles 	et lui baille len une moult riche robe a uestir |puis le assient deuant eulx |et lui demandent |dont il est. |Et il dit|quil est du royaume de logres et de la maison du roy artus. |Lors ilz lui firent la greigneur chiere |qu ilz peurent et lui demanderent des nouuelles de la court. 	et li baillent une mout riche robe a uestir. |Puis lacieent deuant aus. |et li demandent |dom il est. |et il dit |quil est del roiaume de logres et de la mainie le roi artu.|et lors li font la grignor ioie del monde. |et li demandent nouelles de la cort le roi artu. |et il lor dit celes	e dieronlo vnos paños muy Ricos |que vistiese e desque el fue vestido dixeronle |señor donde sodes yo so dixo don galuan del Reino de londres de casa del Rei artur |entonçe les fizieron la mayor honrra del mundo preguntaronle por nuebas dela corte |y el se las dixo 	poscia gli donano una molto ricca roba a vestire, |si-llo asegono davanti loro |e lo domandano |dond’egli è, |ed egli dice |ch’egli è del reame di Longres e della magione del re Artù. |Allor gli fanno |que' di là entro maravigliosa gioia, delle maggior del mondo, |e gli domandano novelle della corte, |ed e' lor disse tali 
186|187	com il les set. |A ces paroles issi d’une chambre I. grans chevaliers a 	qui amenoit auec soy grant compaignie de cheualiers. 	comme il les sauoit. |Atant issi hors dune cambre vns grans cheualiers 	Et il leur dit telles|comme il sauoit A ces parolles issist de une chambre ung grant cheualier 	comme il les cest. |Mais pres a |quil nen oi nouelles. A ces paroles issi de laiens uns grans cheualiers. 	aquellas que sabia |y ellos ansi fablando salio devna camara vn gran cauallero 	come le sapea. A queste parole usci d’una molto ricca camera uno gran cavaliere 
							che molto sembiava gentile huomo, 
							si menava in sua compagnia molti cavalieri; 
					qui amenoit auec lui grant conpangnie de cheualiers. 		
188	et il estoit I. des plus bials hom 	Et il estoit ung des plus beaux homs 	qui se faisoit aporter a. iiij sergans 	qui amenoit auec lui grant compaigniee de cheualiers. il estoit ung des beaulx hommes 	et cestoit assez plus biax hons 	que traia ante si muy gran compaña de caualleros y el hera el mas fermoso ome 	ed egli era uno de più bellihuomini del mondo 
189|190|191	que mesire Gauvain eust pieça veu |et molt resambloit bien gentil home. |Et quant cil de laiens le voient venir, 	que messire gauuain eust oncquez ueu |puis quil yssy de son pays. |et moult resembloit bien a gentilhomme |Et quant ceulx de leans le ueoient uenir 	et uenoient auec lui grant plente de cheualiers. |et il estoit vns des plus biaus cheualiers del monde. |si sambloit bien gentils hom |Et quant ci de laiens le virent uenir. 	qui oucques feust et moult sembloit bien gentil homme.|Quant ceulx de leans le uirent uenir 	que messires .G. eust ueu |puis quil issi de son pais. |et mout resanble bien gentil home. |et quant cil de laiens le uoient uenir. 	que nunca viera don galuan |e mucho le semejaua jentil ome 	e che monsignor Galvano avesse mai veduto |poscia |ch’elli usci di suo paese, |si se ne maravigliò molto di sua convenenza, ché molto venia riccamente, |e quando que di là entro el vidono venire, 
192|193|194|195|196	si dient a mon seignor Gauvain |que c’est li rois. |Maintenant se dresce mesire Gauvain |et dist |que bien soit il venus ; 	si dient a messire gauuain |que cest le roy |Maintenant se drece messire gauuain et dit |que bien soit il uenu 	si dirent a monseignour Gauuain |que chest li roys: |Et il se drece contre lui |et li dist Sire bien ueignies. 	si dient a monseigneur gauuain Uecy le roy. |maintenant se dresse menseigneur gauuain |et lui dit |que bien soit il uenu. 	si dient a mon signor .G. |que cest li rois. |Maintenant se dresce messires .G. |et li dit |que bien soit il uenus. 	e quando los que con don galuan estauanle vieron dixeron vedes aqui El Rey |e luego se fue ael don galuan |e dixole |señor mucho seades bien benido 	sì dissono a mosnlsignor Galvano |che ciò è il re. lmmantanente si diriza monsignor Galvano incontro a llui |e gli dice|che ben sia elli venuto, 
197	et cil li rent son salu a molt bele chiere, 	et il luy rent son salut a moult belle chiere 	Et il li rent son salu a moult bele chiere.	Et celui lui rent son salut a moult belle chiere: 	et cil li rent son salu a mout bele chiere. 	y el Rei le torno sus saludes con muy fermosa cara 	e que gli rende suo saluto a molto bella cera. 
198|199	si le fet asseoir dejoste lui |et demande 	si le fait asseoir deiouste luy et luy demande 	et le fait asseoir deles lui |si li demande 	et le fait asseoir empres lui/ |et lui demande 	si le fait aseoir deioste lui |et li demande 	y el Rei le fizo sentar çerca si y pre-guntole quien hera 	i T fece asedere dallato a-llui |e gli domanda
200|201	qui il est, |et il lij conte tote la verité. 	quil est. |Et il luy en compte toute la uerite. 	qui il est|Et il en dist la uerite. 	qui il est |Et il lui compte la uerite. 	qui il |est.et il li conte tote la uerite. 	e don galuan le conto toda la verdad 	chi egli è, |ed e' ne gli conta la veritã: 
202	Et lors en est li rois molt liés, 	Et|lors en est le roy moult lie 	Si en est li roys moult lies |quant il set 	et lors en est le roy moult ioieux 	et li rois en est mout liez 	e desto fue el Rey muy alegre 	allor n’è il re molto lieto, 
