	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
151	si vos dirai ore seurement 	Si uus dirai ore seurement 	Si uous diray seurement 	si uous diray seurement 	Si vous dirai 	e agora os direlo 	si vi dirò ora sicuramente ciò 
152|153|154|155|156|157|158	ce que vos me demandastes n’a encor gaires. |— |Dites, |fet il. — |Sire, |fet ele, |entre moi et I. chevalier 	ce que uos me demandates na gaires. |Dites dont damoisele fait il. |SIre fait ele par foi entre moi et .i. cheualier 	ce que uous me demandastes. |dictes fait il. |par foy fait elle moy et ung cheualier 	ce que uous mauez demande. |Par ma foy fait elle moy et ung cheualier 	ce que vous me denmandastes. |ore le me dites |dont fait bohors. |Par foy sire fait elle entre moi et. i. cheualier 	que me preguntastes seguramente |Pues deçidmelo dixo boores |asi es dixo la donçella |que oy mañana entre mi |e vn cauallero 	che voi mi domandaste. |— |Dite, diss’elli. |— |laPer fé, diss’ella, |intra me e uno cavaliere 
159	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mes amis estoit. |cheuauchiens hui matin parmi cest chastelet illuec. 	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez 	qui mon amy estoit cheuauchions parmi cest chasteau. 	qui mes amis estoit cheualchiemes parmi chest chastel. 	que hera mi amigo pasamos poreste castillo 	che mio amico era |cavalcamo oggi mattinetto per me questo ricetto, 
160|161|162	et quant li freres a celui |que vos avés abatu me vit, |si me volt a force prendre, 	et quant li freres a celui |que uos aues ore abatu: |me uit. |Si me uot a force prandre. 	Et quant le frere a celuy quie uous auez ores abatu me uit. |si me uoult prendre a force 	Et quant le frere de celui |que uous auez abatu me uist |si me uoulut auoir et prendre a force: 	Et quant li freres a celui |qui vous aues abatu me uit. |si me volt auoir et prendre par force 	e quando el señor del castillo hermano de aquel |que vos derribastes me vido quisome prender afuerça 	e quando il fratello di colui |che voi avete ora abatuto mi vide, |si mi volle a forza prendere, 
163|164|165	kar il m’avoit molt longuement amee; |si me prist al frain |et m’en volt mener a force, 	Car il mauoit mout longuement amee. |Si me prist et me uost mener a force 	car il mauoit longuement amee |si me prist au fraing |et me uoult mener a force 	car il me auoit longuement aymee. |Il print mon cheual et men uoulut mener a force: 	quar il mauoit lonc tamps amee. |Si me prist au frain |et men volt mener a force. 	e trabo del freno demi palafren |e quisome llebar 	ché m’avea lungamente amato; |simmi prese al freno |e mi volle menare a forza, 
		si tost comme il me tint au fraing. 					
166	mes mes amis se combati a lui 	Mais mes amis se combati a lui 	mais mon amy se combaty a luy 	mais mon amy se combatist a lui 	Mais mes anis se combati a lui 	e me vido mi amigo llebar 	ma mio amico si combatté tanto 
167|168|169	tant qu’il l’ocist. |Et quant cist |que vos veez ci ore vit son frere mort, 	tant que il locit. |et quant ciz |que uos ueez ore ci uit son frere mort : 	si loccist. |Et quant celuy |que uous auez ores cy abatu uit son frere mort 	tant qu il loccist. |Et quant celui que uous uoiez cy uist son frere mort 	tant quil locist. |Et quant chils cheualiers |que vous uees |chi vit son frere mort. 	conbatiose conel tanto quelo mato |e quando aquel que alli esta vido asu ermano muerto 	a-llui che-ll’ucise. |ME quando questo che voi avete qui ora abatuto vide suo fratello morto, 
170	si fist mon ami prendre a force de vilains et de gens 	si fist mon ami prandre a force de uilains et de gent. 	si fist prendre mon amy a force de uilanis et de gens. 	il fist mon amy prendre par force de gens et de uillains/ 	si fist mon ami prendre par force de vilains. 	fiço prender ami amigo a fuerça de gente e de villanos 	si fece mio amico prendere a forza di villani e di genti, 
171	et l’ocist en venjance de son frere. 	Et locit en la uangence de son frere. 	si loccist on uengence de son 	et loccist en uengance de son frere 	et locist por uengance de son frere 	e matolo en enmienda dela muerte desu hermano 	e l’uccise in vendicanza di suo fratello. 
172|173|174|175	Mais de moi, |por cui Ses freres avoit esté ocis, |dist il |qu’il se vengeroit sans main metre;	mais de moi p̾ |cui ses freres auoit este ocis |dist il quil sen uangeroit sans main mestre. 	frere.Mais il dist |quil se uangeroit de moy |pour qui son frere auoit este occis sans main mectre 	et dist |quil se uengeroit de moy sans main mettre. 	quil auoit ochis. |Et dist quil se vengeroit de moi sans main metre. 	e dixo |que demi se vengaria el |seguramente |porque fui ocasion dela muerte de su hermano 	Ma di me, |per cui suo fratello avea stato morto, |diss’elli |che-ssi vendicherebbe sanza in me mettere mano, 
176	si me fist prendre a ces ribaus 	Si me fist prandre a ses .iiii. uilains 	si me fist prendre a ces quatre ribaux 	Si me fist prendre par ces quatre ribaulx 	et me fist tantost prendre a ches. iiij. ribaus 	entonçe fiço tomar aquellos quatro villanos 	si mi fece prendere a 
177|178	que vos veistes |et lor commanda 	que uos ueistes si lor coumanda 	qui uous ueistes |et leur commanda 	que uous auez ueu |et leur commanda 	que vous ueistes ore. |et lor commanda 	que vos vistes e mandoles 	nfino a tre l rubaldi che vo' vedeste e loro comandò che 
179|180|181|182	qu’il me noiaissent, « |kar par armes, |dist il, |ne vueil je mie 	quil me noiassent. |Car par hommes ne uoeil ge gaie 	quilz me noyassent. |Car par armes |fist il ne uueil ie pas quelle meure. 	quilz me noyassent/ |car par armes ne uueil ie pas 	quil me noiassent. |Car par armes dist |il ne voeil iou mie 	que me matasen en aquel agua |ca por armas no me queria matar 	m’anegassono, |ché per mano di persona, diss’elli, |non voglio 
183|184|185	qu’ele muire » ; |si m'enmenoient, |si com vos veistes, morir 	fait il quele morit. |Si [cum] amenerent ainsi |com uos ueistes [raqrir] 	si me menoient pour mourir |ainsi comme uous ueistes 	que elle meure.|Si me emmenoient ainsi |comment uous auez ueu pour noyer 	que elle muire. |Si me menoient |ensi com vous ueistes por noier 	e ellos me mataran sin falta 	ch’ella muoia». |i-mmi menavano, |insi come vo vedeste, |per fare morire, 
186	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. 	quant uous me uenistes secourir. |par la uoulente de dieu et par la uostre 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre. 	quant vous me uenistes rescorre par la volente de dieu et la vostre. 	si vos porla voluntad de dios |e porla vuestra no me acorrierades agora vos 	quando vo mi veniste a soccorrere |per la volontà di Dio e della vostra. 
		Sire fait la damoisele a beħ. 					
187	Or vos ai conté mon errement ; 	Or uous ai conte mon errement. 	Or uous ay tout comte mon criement. 	Or uous ay toute compte ma fortune/ 	vous ai conte mon errement 	e contado todo mi acaesçimiento 	Or vo ho contato tutta mia ventura, 
188|189	si voldroie des Ore mes, |se vostre plaisirs estoit, 	Si uorroie desormais se uostres [puisses] estoit : 	si uoudroye desormais |si uostre plaisir estoit 	si uouldroie se uostre uoulente y estoit 	si volroie se vostre volentes y estoit 	como me contesçio 	si vo vorre' da oggimai, |se vostro piacere fosse, 
190	que vos me menissois a salveté en un mien chastel 	que uos me menissiez a sauuete en .i. mien chastel 	que uous me menez a sauuete en ung mien chastel 	que uous me menissez a sauuete en ung mien chasteau 	que vous me metissies a sauuete. |En vn mien castel 	e querria que me llebasedes a vn mi castillo 	pregare che vo' mi conduceste a salvamento in uno mio castello 
191|192|193|194	qui est ci pres. — |Volentiers », |fet il. |Si le prent par les bras 	qui est ci pres. uolentiers damoisele Sire a |si la prent par le bras 	qui est cy pres. |uoulentiers fait il |si la prent par les braz 	qui est cy pres. |Voulentiers dit il. |et il la prent par le bras 	qui est pres de chi. volentiers fait il |et il le prent maintenant par les bras 	que es çerca de aqui |si vos plaze de |GraDo dixo boores |e luego echo su escudo alas espaldas 	ch’è qui presso. — |Volentier. disse elli». |Si-lla prende per lo braccio 
195	et le monte par devant lui sor le col de son cheval, 	et la mest deuant lui sur le col de son cheual. 	et la monte deuant soy sur le col de son cheual. 	et puis la met sur le col de son cheual/ 	et le met sor le col de son cheual. 	e tomola Porel braço |e pusola antesi Ensu caballo 	e la monta davanti a sé sopra il corpo di suo cavallo, 
196	si a geté son escu derieres son dos, 	Si ageste erranmet son escu derier son dos. 	si a gecte son escu derriere son dos. 	si a iecte son escu derrier son dos: 	et met son escu derriere son dos. 	e fuese ansi conella 	si getta suo scudo di dietro suo dosso, 
197|198|199	si s’en vet cele part ou la damoisele li enseigne |tant que ce vint aprés midi |qu’il voient en un tertre I. bel a chastel, 	Si sen ua cele part ou la damoisele li ensangne. |Si cheuaucherent ainsi |tant que ce uint apres midi. |et lors uirent deuant aux en lor chemin .i.|tertre.Ou il auoit .i. tres bel chastel. 	et sen uait celle part ou la damoisele luy enseigne. |tant que ce uient apres medoy quilz uoyent deuant eulx en ung tertre ung meoult bel chastel 	et puis tourne celle part la ou la damoiselle lui enseigne |tant que uint aprez midy |que ilz uirent deuant eulx ung moult beau chasteau: 	si sen torne cele part ou la damoisele lenseigne |Tant que chou vint apres miedi |que il virent deuant euls vn moult bel castel. 	por do ella lo yria guiando fasta medio dia |Que vieron vn muy fermoso castillo 	si se ne va in quelle parti |ove la damigella gli 'nsegna, |tanto che ciò venne apresso di |mezodi che vegono davanti loro, in uno poggio, |uno castello molto bello. 
200|201|202|203	et lors ataignent Il. escuiers |qui issoient d’un bossel |et aportoit |chescuns venoisons trosee detriers soi. 	et lors ataignent .ii. escuiers |qui issoient dun boschet. |et aportoit chascuns uenison trossee douant soi. 	et lors actaignent deux escuiers |qui yssoient dung boys |et chascun aportoit uenoison troussee derriere soy. 	et lors attaignent deux escuiers a lentree de ung petit boix |et portoit chacun uenoisen derrier lui troussee. 	Et lors ataingnent. ij. escuiers a lentree dun boskel |et portoit cascuns venison torsee derriere lui. 	e alcançaron dos escuderos |ala salida devn monteçillo |que traia cada vno vn corço atroxado trassi 	Allora agiungono due scudieri |che uscivano d’uno boschello |e aportavano amenduni |cacciagione torsata di dietro a llui. 
204	Quant il virent la damoisele, 	et quant il uirent la damoisele 	Et quant ilz uirent la damoisele 	Et quant ilz uirent la damoiselle 	Et quant il voient la damfolisele 	e desque vieron la donçella desçendieron apie 	E quand’e' vidono la damigella, 
		qui beh̾ auoit deuant luy 					
205|206	si descendent a pié |et li font grant joie com a celi 	si sont dessendu a pie |et li font la plus grant ioie dou monde a cele 	si descendirent a pie |et luy font moult grant ioye |comme a celle 	ilz descendirent a pie |et lui firent si grant henneur et si grant ioye |comme a celle 	si descendent a pie |et li font si grant ioie |comme a celui 	e fueron |e fezieron gran alegria conella 	si discenderono immantanente a ppiè e gli fanno grande gioia come a colei 
207	qui lor dame estoit mais molt se merveillent 	qui leur lige dame estoit |Mais mout se merueillent 	qui leur dame estoit. 	qui leur dame estoit: |mais moult se merueillent 	qui lor dame estoit. |mais moult sesmerueillent 	como aquella que hera su señora |mas mucho se marauillaron 	che loro dama era, |ma molto si maravigliarono di ciò 
208|209	de ce qu’il la virent plorer: |si li enquierent que ele a. 	quant il la uirent si plorer. |et plus de son ami |que il ne uerent pas mandent |que ele a. 	mais moult se merueillent de ce quilz la uirent plourer. |si luy enquierent quelle a. 	de ce qu ilz la uoient plourer: |si demandent |que elle a. 	de ce quil la voient plorer. |si li demandent |que elle a. 	porque la vian ansi venir e preguntaronla que auia 	che lla vidono impiagnendo. |Si-lla inchiesono |ch’ell’avea, 
210	Et ele lor dit 	et ele lor dit et conte coment ueuir auecques li. |Si li en quierent 	et elle leur comte 	et elle leur compte 	Et elle lor conte 	e ella les conto 	ed ella lor disse 
211	comment ses amis avoit esté ocis, « 	et de ses amis auoit este ocis. au chastel 	comme son amy auoit este occis. 	comment son amy auoit este occy/ 	comment sez amis auoit este ochis. 	como su amigo hera muerto 	come suo amico era stato ucciso, 
212	et je meismes euisse esté morte. 	ou il trespasoient. |Sire meismes fait ele eusse este morte : 	Et ie mesmes fait elle feusse morte 	et moy mesmes eusse este occie 	et iou meisme eusse este ochise. 	e dixo yo mesma fuera muerta 	«ed io medesima, diss’ella, |fosse stata morta, 
213	se ne fust cis frans chevaliers 	Ce ne fust ciz frans cheualiers ci. 	se ne fust ce franc cheualier 	se ne feust ce franc cheualier 	se ne fust cils frans cheualiers 	sino fuera 	se non fosse questo franco cavaliere 
214|215|216	qui par sa debonaireté me resqueust |et se mist em peril de mort |por ma vie sauver. » 	qui par sa debonairete et par sa franchisse marescosse des mains a mes anemis |et se mist en peril de mort |por moi sauuer. |et se ne lauoie ie pas deserui. 	qui par sa debonairete ma rescousse. et sest mise on peril de mort |pour sauuer ma uie. 	qui par sa debonnairete ma rescousse et sest mis en peril de mort pour moy sauuer. 	qui par Sa debonairete ma rescousse. |et se mist en peril de mort |pour moi sauuer. 	por aqueste buen cauallero |que me libro |e se metio en peligro de muerte |Por me librar 	che per sua dibonarità mi riscosse, |si si misse in periglio di morte per mia vita salvare». 
		et diex doint 					
217	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	que ie li puisse guerredoner. |Lors conseille maintenant la damoisele a .i. des escuiers. 	Et lors conseille a lun 	Et lors elle parle a conseil a ung des escuiers |et celui se destrousse maintenant de sa uenoison 	Et lors conseilla elle a. j. de ses escuiers |Et cil destorse tout maintenant sa venison 	e luego destroçaron el vn corço |e pusieronlo enel Palafren 	Allor si consiglia con l’uno, |e quelli iscioglie immantanente sua cacciagione 
