micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
Ha, biax cousins,  que est ce 	Ha; biaus cousins  que est ce 	Ha beau cousin quest ce 	Biaus cousins fet il  que est ce 	Ha ha heau sire/  que est ce 	Biax cousins fait il  ques ce 	ay amigo 	«Ail, bel cugino,  che est ciò 
que vos me dites ? Cuidiez vos donc  que ce soit Lanceloz 	que uous me dites. Cuidiez uous 	que uous dictis cuidez uous que ce soit lancelot 	que vous dites.  quidies vous  dont  que che soit lancelot cils 	que uous dictes/ Cuidez uous que ce soit lancelot 	que uos dites  cui diez uos 	que dezides 	che vo' mi dite? Credete voi dunque che ciò sie Lancelotto, 
qui porte les blanches armes ? —  Oil, fait il, je le sai vraiement. —  En non Deu, non est,  ce  ne fu onques Lanceloz, cil  qui fu filz le roi  Ban  que l’an tient a si bon chevalier,  car il vint ci ersoir tout tart  et jostai a lui  si que je l’abati en ce fossé; 	dont que ce soit lanc̃. cilz  qui fu filz le roy ban de benoyc.  que len tient a si bon cheualier.  Car il uint her soir ci tout tart.  Si que ge ioustai a lui  et labati en cel fosse. 	qui porte les blanches armes.  Ouil fait il ie le scay de uray.  Certes dist il ce ne fu onc lancelot cil  qui fu filz au roy ban  que len tient a si bon cheualier.  car il fu arsoir icy tout tart et si ioustay a luy et labaty en ce fosse 	qui porte lez blanches armes.  Oil fait il iou le sai vraiement.  Enon dieu fait il  ce ne fu onques mesire lancelos.  quar hier soir vint il ci.  et iou ioustai a lui.  si que ie labati en cel fosse.  et sen ala tout a pie. 	qui porte les blanches armez/  ouy fist il ie le scay de uray en nom dieu fist le cheualier/  ce ne fut encques lancelot/  qui fut filz au roy ban  que lon tient a si bon cheualier.  Car il uint ersoir icy tout tard et ioustay a lui  si que ie labati en ce fosse  Et	por ce ce il a blanches armes  que ce soit lanc̃.  Oil fait il.  Certes non est ce ne fu onques ciz lanc̃.  qui fu fis le roi ban. que len tient a si bon cheualier  qui ersoir uint ci et Iostai a lui  et labati el fosse. 	que ese cauallero delas armas blancas no es fijo del Rey ban de benoit antes es vn cauallero  que yo derribe anoche en aquella Carcaua de agua  ca si el fuera no caiera pormi lança  mas es algun malo Couarde  que se llama don lançarote  y ansi anda engañando el mundo 	quel ch’è figliuolo del re Bando di Benoc,  che l’uomo tiene a-ssi buono cavaliere?  di è, diss' elli.  — Certo, disse il cavaliere, non è,  ch’elli venne iersera  qui tutto tardi,  e si ch’io giostrai a-llui  e l’abatte in questa fossa; 
et se il fust li chevalier 	Et se il fust li cheualiers. 	et se cestoit le cheualier 	Et sil fust cheualiers teuls comme cils 	se ce fust le cheualier 	et se il fus si bons cheualiers 	porque le faga mayor honrra 	e s’egli fosse il cavaliere 
de cui la renomee est si grant par toutes terres, je sai bien  qu’il ne fust ja par moi chaüz. 	de  qui la renommee est si grant par toutes terres. ie sai bien  quil ne fust ia par moi cheuz. 	dont il est si grant renommee ie scay bien  qu il ne fust ia cheu pour moy. 	de qui la renomee est si grans par toutes terres. iou sai bien  quil ne fust ia par moi cheus. 	de qui toute la renommee est espandue parmi le monde ie scay bien  qu il ne fust pas pour moy cheu/ 	comme len dit  dont la renomee est si grans: Ie sai bien  que il ne fust pas chaus par .I. tel cop.	doquier que llegue 	di cui la rinomea est si grande per tutte le terre, i' so bene  che non fosse già per me caduto: 
Mais il est aucun ribauz, aucun failliz de cuer  qui vait en guise del bon chevalier  et se fait apeler par le non del prodome,  si qu’il est honourez par tout 	Mes il est aucuns ribaus aucuns failliz de cuer  qui uait en guise de bon cheualier.  Et se fet apeler par le non del preudome. Si quil est honorez partout 	Mais cest aucun ribaut failly de cuer  qui ua en guise de bon cheualier.  et se fait apeller par le nom du preudomme  si qu il est honnoure par tout la 	mais chest aucuns ribaus aucuns faillis de cuer.  qui uait en guise del boin cheualier  et se fait apeler par le non del preudomme.  si quil en est honores partout la 	mais est aulcun ribault aulcun failli  qui uient en guise de cheualier  et se fait appeller par le nom dun preudomme  Si que il est honnore par tout 	Mais cest aucuns ribaus  qui ce fait apeler par le non del preudome  qui est honon̶e̶res par tous les lieus 	Como don lançarote derribo al Cauallero dela puente  Quando el huesped de don lanzarote aquello oyo non sopo  que Responder 	ma egli è alcun rubaldo, alcun fallito di cuore  che va a guisa di buon cavaliere  e si fa chiamare per nome d’un produomo,  si ch’egli èe honorato per tutto là 
ou il est conneuz. »  Quant li ostes ot ceste parole, 	ou il est cogneuz.  QUant li ostes ot ceste parole. 	ou il est cogneu.  Quant loste ouy ceste parole 	ou il est conneus .  Quant li ostes oit cele nouelle. 	ou il ua  Quant loste oyt ceste parolle 	ou il est conneus.	y el Cauallero dela puente le pregunto 	ov’egli è conosciuto».  ssQuando l’oste intende queste parole, 
si est si esbahiz  qu’il ne set  que dire;  et li autres li demande 	si est si esbahiz  quil ne set que dire. et li autres li demande 	si est si esbahy  quil ne sceit que dire.  et lautre luy demande 	si en est si esbahis  quil ne set que dire.  Et li cheualiers  qui gardoit le pont li demande 	si fut si dolent  quil ne scauoit  que dire/  et lautre encore lui demmanda/  dictes moy fist il 	et quant li hostes loit  si est tous esbahis. et li autres cheualiers li demande 	que cauelladura traia  y el le dixo 	si è si isbigottito  che non sa  che dilre;  e ll’altro li domanda 
quel cheveleure il a. — 	quel cheueleure il a. 	qu elle cheueleure  a il 	quele cheueleure  a il 	quelle cheueleure il a	quex cheueus a il. 	que andaua trasquilado 	che capellatura elli à. 
Par foi, fait il, il n’a nul chevel,  car il a esté tousez de nouvel. — En non Deu, fait cil del pont, 	par foi fet il il na nul cheueul.  Car il a este tonduz de nouuel. En non dieu fet cil du pont. 	par foy fait il. il na nulz cheueux car il a este tondu de nouuel. 	par foy sire fait il. il na nul cheuel quar il est touse: de nouel. Enon dieu fait cil del pont.	par ma foy fist il il na nulz cheueulx/  car il a este tondu de nouuel/ Saichies fist cellui du pont 	par foi il na mie cheueus  car il est tondus de nouel.  En no dieu fait il	agora dixo el Cauallero 	Per fé, disse, e' non à nullo capello,  ch’egli à stato trugiolato di novello.  — A nome di Dio, disse 
dont sai je bien  que ce n’est mie Lanceloz, 	dont sai ge bien  que ce nest mie misire lancelot. 	donc fait il scay ie bien  que ce nest pas lancelot. 	dont sai iou bien  que ce nest mie lancelot. 	donc scay ie bien/  que se nest mie lancelot. 	or sai ge bien  que ce nest mie lancelos. 	podedes entender que non es el don lançarote 	que del ponte, dunque so io bene  che ceiò non è Lancelotto di Lac, 
car il a le plus bel chief soret et crespe  que nus hons veist onques.  Et laissiez le, fait il, venir. seurement celui 	Car il a le plus biau chief soret et crespe.  que nus hom ueit onques.  Et lessiez le fet il uenir seurement celui 	car il a le plus beau chief soret et crespe  que uous ueissez onc.  Et lessez fait il uenir seurement cil 	quar il a le plus bel chief sorets et crespe  que nus homs puist auoir. Et laissies fait il uenir le cheualier seurement celui 	Car il a le plus beau chief crespe du monde.  Or laissez uenir seurement dist il/ celluy 	quil a bel chief  et soret et crespe.  et laissiez uenir 	ca don lançarote alos Cauellos crespos y loros  y son los mas fermosos del mundo 	ch’egli à il più bel capo soretto e crespo  che nullo huomo vedessi unque mai. Lasciatelo, diss’egli, venire inanzi colui 
qui Lancelot se fait apeler,  car se je ne li fas sa sele widier, je ne quier jamais porter armes. »  Lors revient li ostes a Lancelot  et dist: « Sire, a joster vos couvient,  car autrement n’i passerez vos mie. — Ne je ne quier », faît il.  Et il aloingne le glaive	qui lanc̃. se fet apeler  quar se ge ne li faz la sele uuidier ie ne quier iames porter armes. LOrs reuient li ostes a lanc̃.  et li dit. Sire;  a iouster uous couient.  Car autrement. ni passerez uous mie.  Ne ie ne quier fet il.  et il esloingne le glaiue 	qui se fait apeller lancelot.  car si ie ne luy fays uuider la sele. ie  ni uueil iamais porter armes  Comment ilz fierent l un l autre si fort  qu ilz font uoler les glayues en pieces  Lors reuient louste a lancelot  et luy dist. Sire il uous conuient iouster  car autrement ne passerez uous pas. Ie ne quier fait il autre chose.  Lors esloigne le glayue 	qui lancelot  se fait apeler.  quar se iou ne li faic la sele widier iou ne quit iamais porter armes.  Lors reuient li ostes a lancelot et li dist. Sire a iouster vous conuient  Car autrement ni passeres vous mie. Iou ne quit miex fait il.  Lors sen vait uers le cheualier lo 	qui lancelot ce fait nommer par nom.  Car se ie ne luy fais la selle uuider ie ne quiers iamais porter armez.  Lors sen reuint loste a lancelot/  et luy dist. Sire iouster uous conuiendra/  Car aultrement ny passerez uous pas/  Et ie ne quiers fist il aultre chose/ Lors allongna le glaiue/ 	que ce ie ne li fas widier la cele Ie  ne quier Ia mais armes porter LOrs uient li hostes a lanc̃. sire Iouster uos couient ou autrement ni passeres uos pas.  et lanc̃. dit  que ce wet il bien	mas agora lo dexad venir aca  que si non le fago dexar la silla  nunca yo traiga lança  estonçes se torno el huesped a don lançarote  y dixole  amigo a justar vos conuiene  ca de otra guisa non podedes pasar la puente  e dixo don lançarote 	che Lancelotto si fa chiamare,  ché s’i' non gli fo la sella votare,  i' non cheggio mai aportare armes. lzl  Allor riviene l’oste a Lancelotto  sel li disse:  Sire, a giostrare vo comviene, ch’altrimenti vo non passerete vo' mica.  — Né io non cheggio altrimenti passare, diss’egli». Elli slunga la lancia 
et met l’escu devant le piz  et lait le cheval corre au chevalier del pont  et cil a lui;  si s’antrefierent si durement 	et met lescu deuant son piz.  Et let le cheual corre uerz le cheualier. du pont. et cil a lui.  si sentrefierent. si durement 	et mect son escu deuant son pis.  et laisse courre le cheual au cheualier du pont  et ilz sentrefierent si fort 	Et quant cil le voit  si laissent corre lor cheuaus et sentrefierent dez glaiues en lor escus. 	et meist lescu deuant lui/  puis laissa courir son cheual uers le cheualier du pont/  et lautre a lui/ si sentrefrapperent si durement/ 	Lors laisse le cheual corre. Au cheualier del pont  et cil a lui  et se fieret 	pues eso es porlo que yo vengo  e luego se fueron Contra la puente  y tanto que el Cauallero dela puente vio a don lançarote dejose yr contrael  y quando don lançarote ansi lo vido benir puso su escudo ante si  y metio la lança so el sobaco  y dexose yr ael 	e mette lo scudo davanti a suo petto  e llascia il cavallo corere inverso il cavaliere del ponte,  e quegli a-llui.  Esi-ssi trafegono si duramente 
qu’il font les glaives voler em pieces; il s’entrehurtent des cors et des escuz si durement  qu’il n’i a celui 	quil font les glaines uoler em pieces. Il sentrehurtent des cors et des escuz si durement.  quil nia .i. seul. 	quilz font uoler les glayues en pieces  et sentrehurtent des corps et des escu si fort  quil ni a celuy 	si quil les font voler em pieces.  puis sentrehurtent des cors et dez escus si durement  quil ni ot celui 	quilz firent leurs glaiuez uoller en pieces/  et sentrehurterent/ si asprement des corps/ et des membres  quil ny auoit cellui 	si qu il font lor lances uoler en pieces  et sentrehurtent  si quil ni a celui 	y dieronse tan grandes encuentros quelas lanças volaron en piezas 	ch’elli fanno le lance volare in pezi; elli si trapercuotono si duramente de corpi e di scudi  che non v’à ursolo 
qui toz ne soit estonnez. Mais si i bien st tiennent 	qui ne soit touz estonnez.  Mes si bien se tiennent 	qui ne soit tout estourdy.  mais tant se tiennent	qui ne soit tous estones.  mais il se tienent si bien 	qui tout ne fust estourdi.  Mais si bien se tindrent/ 	quil ne soit desconraes. Mais bien se tindrent 	mas no se derribaron 	che tutto non sia istornato.  Ma molto si tenono bene 
que li uns ne li autres n’est chan̂z  et Lanceloz met la main a l’espee 	que li uns ne li autres nest cheuz.  Et lanc̃. met la main a lespee. 	que lun ne lautre nest cheu.  et lancelot mect la main a lespee 	que li vns ne li autres nest cheus.  Et lancelot met la main a lespee 	que lun ne lautre ne cheut/  si mist lancelot la main a lespee/ 	quil ne sont pas chaus.  et lanc̃ met la main a lespee. 	e don lançarote metio mano asu espada 	si che l’uno né l’altro non è caduto, e Lancelotto mette la mano alla spada 
et li voloit corre sus, 	Et li uoloit corre sus. 	et luy ueult courre sus. 	et li uoloit corre sus. 	car sur lui uouloit courre 	et li uot corre sus. 	para ferir al otro 	e-lli voleva corere suso, 
quant il li dist : «  Biax sire, atandez vos, encor jostera chascuns d’unne lance ou de Il. 	quant il dist. Biau sire atendez uous.  Encores ioustera chascuns dune lance ou de .ii.	quant il luy deist Beau sire actendez. encor ioustera chascun dune lance ou de deux 	quant il li dist biaus sire atendes vous  quar encore nous conuient il iouster dune lance ou de. ij. 	Et il lui dist/  Beau amy seuffre toy/  Car encores te fauldra iouster centre moy dune lance 	et cil li dit. estes sire  Si ioustera encor chascuns dune lance ou de deus.	mas el otro Cauallero le dixo amigo non vos cuitedes 	quando quelli disse: Bel sire, attendete voi ancora giostrare ciascuno d’una lancia o di due 
tant que li uns chiee. »  Et il dist 	tant que li uns en chiee.  Et il dit 	tant que lun chee.  Et il dit 	tant que li vns de nous . ij. chie  Et lancelot dist 	tant que lun en chiesse.  Et Lancelot dist 	tant que li uns chiee.  et il dit 	que otra vez hauemos de justar o mas 	tanto che l’un caggia?».  Ed e' dice 
que ce velt il bien.  Et lors li baille li chevaliers une lance 	que ce uelt il bien.  Et lors li baille li cheualiers une lance. 	que ce ueult il bien.  Lors luy baille le cheualier une lance 	que ce veult il bien.  Lors li baille li cheualiers vne lance. 	que ce uoulloit il bien/  Et lors luy bailla le cheualier une lance/ 	que ce wet il bien. Il li baille une lance 	fastaque el vno denos cayga mucho me plaze 	che ciò vuol egli bene.  Allor li dona il cavaliere una lancia 
