micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
si me fist prendre a ces ribaus	Si me fist prandre a ses iiii	et me fist tantost prendre a ches iiij	si me fist prendre a ces quatre ribaux	Si me fist prendre par ces quatre ribaulx	entonçe fiço tomar aquellos quatro villanos	si mi fece prendere a nfino a tre l rubaldi
	uilains					
que vos veistes	que uos ueistes	ribaus que vous ueistes ore	qui uous ueistes	que uous auez ueu	que vos vistes	che vo' vedeste
et lor commanda qu’il me noiaissent kar par armes dist il ne vueil je mie qu’ele muire ; si m'enmenoient si com vos veistes morir quant vos me venistes secorre par la volenté de Dieu et par la vostre Or vos ai conté mon errement ;	si lor coumanda quil me noiassent Car par hommes ne uoeil ge gaie fait il quele morit Si [cum] amenerent ainsi com uos ueistes [raqrir] quant uos me [uenistes] secorre par la uolente de dieu et la uostre Sire fait la damoisele a beħ Or uous ai conte mon errement	et lor commanda quil me noiassent Car par armes dist il ne voeil iou mie que elle muire Si me menoient ensi com vous ueistes por noier quant vous me uenistes rescorre par la volente de dieu et la vostre vous ai conte mon errement	et leur commanda quilz me noyassent Car par armes fist il ne uueil ie pas quelle meure si me menoient pour mourir ainsi comme uous ueistes quant uous me uenistes secourir par la uoulente de dieu et par la uostre Or uous ay tout comte mon criement	et leur commanda quilz me noyassent car par armes ne uueil ie pas que elle meure Si me emmenoient ainsi comment uous auez ueu pour noyer quant uaus me uenistes secourir par la uoulente de dieu et par la uostre Or uous ay toute compte ma fortune	e mandoles que me matasen en aquel agua ca por armas no me queria matar e ellos me mataran sin falta si vos porla voluntad de dios e porla vuestra no me acorrierades agora vos e contado todo mi acaesçimiento como me contesçio	e loro comandò che m’anegassono ché per mano di persona diss’elli non voglio ch’ella muoia i mmi menavano insi come vo vedeste per fare morire quando vo mi veniste a soccorrere per la volontà di Dio e della vostra Or vo ho contato tutta mia ventura
si voldroie des Ore mes se vostre plaisirs estoit	Si uorroie desormais se uostres [puisses] estoit :	si volroie se vostre volentes y estoit	si uoudroye desormais si uostre plaisir estoit	si uouldroie se uostre uoulente y estoit	e querria	si vo vorre' da oggimai se vostro piacere fosse pregare
que vos me menissois a salveté en un mien chastel qui est ci pres	que uos me menissiez a sauuete en i mien chastel qui est ci pres	que vous me metissies a sauuete En vn mien castel qui est pres de chi	que uous me menez a sauuete en ung mien chastel qui est cy pres	que uous me menissez a sauuete en ung mien chasteau qui est cy pres	que me llebasedes a vn mi castillo que es çerca de aqui	che vo' mi conduceste a salvamento in uno mio castello ch’è qui presso
— Volentiers fet il	uolentiers damoisele Sire a	volentiers fait il	uoulentiers fait il	Voulentiers dit il	si vos plaze de GraDo dixo boores e luego echo su escudo alas espaldas	— Volentier disse elli
Si le prent par les bras	si la prent par le bras	et il le prent maintenant par les bras	si la prent par les braz	et il la prent par le bras	e tomola Porel braço	Si lla prende per lo braccio
et le monte par devant lui sor le col de son cheval	et la mest deuant lui sur le col de son cheual	et le met sor le col de son cheual	et la monte deuant soy sur le col de son cheual	et puis la met sur le col de son cheual	e pusola antesi Ensu caballo	e la monta davanti a sé sopra il corpo di suo cavallo
si a geté son escu derieres son dos	Si ageste erranmet son escu derier son dos	et met son escu derriere son dos	si a gecte son escu derriere son dos	si a iecte son escu derrier son dos:	e fuese ansi conella	si getta suo scudo di dietro suo dosso
si s’en vet cele part ou la damoisele li enseigne	Si sen ua cele part ou la damoisele li ensangne Si cheuaucherent ainsi	si sen torne cele part ou la damoisele lenseigne	et sen uait celle part ou la damoisele luy enseigne	et puis tourne celle part la ou la damoiselle lui enseigne	por do ella lo yria guiando fasta medio dia	si se ne va in quelle parti ove la damigella gli 'nsegna
						tanto che ciò venne apresso di mezodi
tant que ce vint aprés midi qu’il voient en un tertre I bel a chastel	tant que ce uint apres midi et lors uirent deuant aux en lor chemin i tertre Ou il auoit i tres bel chastel	Tant que chou vint apres miedi que il virent deuant euls vn moult bel castel	tant que ce uient apres medoy quilz uoyent deuant eulx en ung tertre ung meoult bel chastel	tant que uint aprez midy que ilz uirent deuant eulx ung moult beau chasteau:	Que vieron vn muy fermoso castillo	che vegono davanti loro in uno poggio uno castello molto bello
et lors ataignent Il escuiers qui issoient d’un bossel et aportoit chescuns venoisons trosee detriers soi	et lors ataignent ii escuiers qui issoient dun boschet et aportoit chascuns uenison trossee douant soi	Et lors ataingnent ij escuiers a lentree dun boskel et portoit cascuns venison torsee derriere lui	et lors actaignent deux escuiers qui yssoient dung boys et chascun aportoit uenoison troussee derriere soy	et lors attaignent deux escuiers a lentree de ung petit boix et portoit chacun uenoisen derrier lui troussee	e alcançaron dos escuderos ala salida devn monteçillo que traia cada vno vn corço atroxado trassi	Allora agiungono due scudieri che uscivano d’uno boschello e aportavano amenduni cacciagione torsata di dietro a llui
Quant il virent la damoisele	et quant il uirent la damoisele	Et quant il voient la damfolisele	Et quant ilz uirent la damoisele	Et quant ilz uirent la damoiselle ilz descendirent a pie	e desque vieron la donçella desçendieron apie	E quand’e' vidono la damigella
	qui beh̾ auoit deuant luy					
si descendent a pié	si sont dessendu a pie	si descendent a pie	si descendirent a pie	et lui firent si grant henneur	e fueron	si discenderono immantanente a ppiè
et li font grant joie com a celi	et li font la plus grant ioie dou monde a cele	et li font si grant ioie comme a celui	et luy font moult grant ioye comme a celle	et si grant ioye comme a celle	e fezieron gran alegria conella	e gli fanno grande gioia come a colei
qui lor dame estoit	qui leur lige dame estoit	qui lor dame estoit	qui leur dame estoit	qui leur dame estoit:	como aquella	che loro dama era ma molto
mais molt se merveillent de ce qu’il la virent plorer: si li enquierent que ele a Et ele lor dit comment ses amis avoit esté ocis et je meismes euisse esté morte se ne fust cis frans chevaliers	Mais mout se merueillent quant il la uirent si plorer et plus de son ami que il ne uerent pas mandent que ele a et ele lor dit et conte coment ueuir auecques li Si li en quierent et de ses amis auoit este ocis au chastel ou il trespasoient Sire meismes fait ele eusse este morte : Ce ne fust ciz frans cheualiers ci	mais moult sesmerueillent de ce quil la voient plorer si li demandent que elle a Et elle lor conte comment sez amis auoit este ochis et iou meisme eusse este ochise se ne fust cils frans cheualiers	mais moult se merueillent de ce quilz la uirent plourer si luy enquierent quelle a et elle leur comte comme son amy auoit este occis Et ie mesmes fait elle feusse morte se ne fust ce franc cheualier	mais moult se merueillent de ce qu ilz la uoient plourer: si demandent que elle a et elle leur compte comment son amy auoit este occy et moy mesmes eusse este occie se ne feust ce franc cheualier	que hera su señora mas mucho se marauillaron porque la vian ansi venir e preguntaronla que auia e ella les conto como su amigo hera muerto e dixo yo mesma fuera muerta sino fuera por aqueste buen cauallero	si maravigliarono di ciò che lla vidono impiagnendo Si lla inchiesono ch’ell’avea ed ella lor disse come suo amico era stato uccisoed io medesima diss’ella fosse stata morta se non fosse questo franco cavaliere
qui par sa debonaireté me resqueust	qui par sa debonairete et par sa franchisse marescosse des mains a mes anemis	qui par Sa debonairete ma rescousse	qui par sa debonairete ma rescousse	qui par sa debonnairete ma rescousse	que me libro	che per sua dibonarità mi riscosse
et se mist em peril de mort por ma vie sauver	et se mist en peril de mort por moi sauuer	et se mist en peril de mort pour moi sauuer	et sest mise on peril de mort pour sauuer ma uie	et sest mis en peril de mort pour moy sauuer	e se metio en peligro de muerte Por me librar	si si misse in periglio di morte per mia vita salvare Allor
		Et lors conseilla elle a				
		j				
	et se ne lauoie ie pas deserui					
	et diex doint					
Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison	que ie li puisse guerredoner Lors conseille maintenant la damoisele a	de ses escuiers Et cil destorse tout maintenant sa venison	Et lors conseille a lun	Et lors elle parle a conseil a ung des escuiers et celui se destrousse maintenant de sa uenoison	e luego destroçaron el vn corço e pusieronlo enel Palafren	si consiglia con l’uno e quelli iscioglie immantanente sua cacciagione
si la baille a son compaignon por porter	i des escuiers	et le baille a porter a son compaignon	et cil baille sa uenoison a porter a son compaiguon	et la baille a porter a son compaignon	e ymbiaronlo al castillo conel vn escudero e pusieron ala donçella enel otro	e la dona a suo compagnone per portarnela
	et il destrore maintenant sa uenisson					
si s’en vet vers le chastel quanqu’il puet traire del roncin	et la baille a lautre por portee Si sen ua uers le chastel quanque il puet de roncin traire	et sen vait vers le castel quanque il pot del ronchi traire	si sen uait uers le chastel tant quil puet traire du roucin	et sen ua uers le chasteau tant quil peut courir atout son roussin	e fueronse contrael castillo quanto podian	si se ne va inverso il castello quanto che può trarre del ronzino
Et Boors demande a la damoisele comment li chastials a non ou ses amis a esté ocis Sire fet ele il a non Galedon	et behors demande a la damoisele comment li chastiax auoit non ou ses amis auoit este ocis Sire fait ele il a non Galedon	Et bohors demande a la damoisele comment li castiaus auoit non ou ses amis auoit este ochis Sire fait elle il a a non Galdon:	Et boort demande a la damoisele coment le chasteau a nom ou sen amy auoit este occis Sire fait elle il a nom galedon et leue par ou nous passasmes	Et boort demande a la damoiselle comment le chasteau auoit nom ou son amy auoit este occy Sire fait elle il a nen galdon et leaue ou uous passastes a nom galide Ainsi sen uont parlant ensemble boort	e boores pregunto ala donçella como auia nombre el castillo Do su amigo auian muerto señor dixo ella el a nombre Galdon	eE Boordo domanda alla damigella come il castello à nome ove suo amico avea stato morto Sire disse ella egli à nome Badelon
et l’eve par ou vos passastes a non Galede Ensi parolent tant qu’il sont venu jusqu’al chastel	et leue par ou uos pasates a non banllete Ainsi parole tant que il sont uenu ducau chastel	Et laigue ou vous passastes a a non Galide Ensi sen vont parlant tant quil sont venu pres del chastel	si a nom galede Ainsi parlent tant quilz sont uenuz iucquau chastel	et la damoiselle tant que ilz sont uenus prez du chasteau	e el agua que pasastes galide Asi fueron fablando fasta el castillo Que hera muy fuerte	e l’acqua per dove passaste Galede aln parlando vanno tanto che sono venuti insino qua al castello
si le voit Boors bien seant	Sire uoit beh̾ mout bel	si le voient moult bel	et boort le uoit moult fort	si le uoient beau	e muy bien asentado	si 'l vide Boordo molto forte
et fort Et quant il montent ! le tertre	et mout bien sains et quant il ont monte le tertre	et moult fort et moult bien seant Et quant il furent monte le tertre	et moult bien seant Et quant il ont monte le tertre	et fort et moult bien seant Et quant ilz sont montez le tertre	e desque fueron entrados enel castillo	e molto ben sedente E quand’e' mosntavano il poggio
