,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
199|200|201|202|203,—|Si m aïst Diex fait il|si ferai je aseur en soiez|Atant s em part Lanceloz de laienz;|et quant il furent,si maist dieu dit il aussi feray ie|ATant se part lancelot de leans,mas ayna|que pudieredes deso dixo el cauallero sedvos bien seguro Como don lançarote ymbio consu mensaje ala donzella al Rey Artur|e ala Reyna Entonzes se partieron del cauallero,Si mait diex fet il|si ferai iou asseur en soies vous Atant sen part lancelot|Et quant il furent,— Se m aiuti ldio diss elli|si farò io asicuro ne siate vois|“Altanto se ne parte Lancelotto di là entro
204|205|206|207|208,I|poi esloingnié il demande a la damoisele qu il portoit|qui avoit|si le chevalier navré|Sire fait ele je le vos dirai,et quant ilz furent ung peu eslongniez il demanda a la damoiselle quil emmenoit auec lui|qui auoit ainsi naure le cheualier Sire dit la damoiselle ie le uous compteray bien,e desque fueron alongados dela torre pregunto don lançarote ala donzella|que antesi lleuaua|que quien llagara aquel cauallero señor dixo ella yo voslo dire sabed,j|poi eslongies il demande à la damoisele quil auoit laiens prise|qui auoit ensi naure le cheualier|Sire fet elle iou le vous dirai,Quando fu un poco islungato Lancelotto domand alla damigella|che portava chi aveva insi il cavaliere inaverato
209|210|211,Quant il m ot prise a force|si com ma suer set bien|si m anmenoit par cest chemin,Quant il me eust prinse a forche comme ma seur scait bien|si me emmenoit par cest chemin,que quando aquel cauallero me tomo|por fuerça metiome|por aqueste camino pordo agora nosotros ymos,Quant il mot prise ensi comme ma suer le set bien|il menmenoit par chest chemin,: quand e' m ebbe presa a forza|si come mia serocchia sa bene|si mi menava per questo camino
212,et je plouroie moult durement,et ie plouroie menlt tendrement,e yo yba façiendo el mayor duelo del mundo,et iou ploroie moult durement :,e io piagnea molto duramente
213|214|215,et|tant que nos encontrasmes II|chevaliers de cest païs a cui il prist pitié de moisi qu il se pristrent a lui,si encentrasmes deux cheualiers de cest pays a|qui il print pitie de moy,e nos viniendo|ansi encontramos con dos caualleros desta tierra|e ouieron demi gran duelo,Et|tant que nous encontrames|ij|cheualiers de cest pais a|qui il prist pitie de moi,Tanto andamo|che noi incontramo due cavalieri di questo paese a cui elli prese piatà di me
,,,,,si che
,,,,,si presono a llui
,,,,Si se pristrent a lui,
216|217|218|219,et li firent les plaies|dont il gist;|mais il se desfandi|si bien qu il les occist enI,si se prindrent a luy:|et luy firent les playes denc il gist mes il se deffendist|si bien quil les occhit tous deux,e trauaxaronse demele quitar|mas el se defendio tan fuertemente quelos mato a ambos y ellos lo llagaron ansy,& li firent lez plaies|dont il gist|Mais il se desfendi|si bien quil lez ocist ambe|ij,e li feciono le piaghe|donde elli giace|si difende|si bene|ch elli li ucise aminduni
220,puis m anmena a quelque poinne ainsi navrez com il estoit dusque la ou vos me trovastes,puys me emmena iusques la ou uous me trouuastes,como yaze tan mal trecho segund|que vistes pero metiome alli donde me fallastes desque y fuimos fallose muy maltrecho dela sangre,puis menmena a|quel que paine ensi naures comme il estoit iusques la ou vous me trouuastes,e poscia mi menò a qualche pena insi fedito com egli era insin qua dove vo mi trovaste
221,Et quant il fu descenduz il se trova,Et quant il fut uenu il se trouua,que perdiera delas muchas llagas enguisa,Et quant il fu descendus|si se troua,si trovò
222,si malades qu il cuida bien illuec morir:,si mallade qu il cuida mourir,que luego cuido ser muerto y echose,si malades quil quida bien morir,si malato|ch elli crede bene nel luogo morire
223|224,si se fist couchier a grant besoing|si ne dist,et se fist coucher ne oncques|puis ne dist mot,luego enel lecho,Si se fist coulchier a grant besoing|si ne dist,si si fece coricare a gran bisogno|:
225|226,puis gaires mot fors tant com il parla ore a vos|quant il vit,fors tant quil parla a uous|quant il ueist,e nunca despues aca fablo tanto|como agora avos|quando vio,puis gaires mot fors ce quil parla ore a vous|quant il vit,si non disse unque poscia guari motto fôrse tanto come parlò ora a voi quand e' vide
227,que vos m anmeniez,que uous me emmenies,que me traiades y,que vous men volies mener,che vo' me ne menavate
228,Si m en est bien avenu qu il ne me fist nule chose,si men est bien aduenu dieu mercy|car il ne me a fait chose,ansi escape|que nunca me fizo cosa conque me pesase sino,si men est moult bien auenu dieu merci|quant il ne me fist onques chose,Si m è molto bene avenuto|che no mi fece unque cosa
229,qui me despleust,qui me aist despleu,quanto me traxo,qui me despleust,che mi dispiacesse
230|231|232,Et quant sa suer ot ce|si est tant liee|que nule plus,Et quant sa seur louyt|si en est menlt ioyeuse,E quando esto oyo su hermana fue tan alegre,Et quant sa suer oi ce|si fu tant lie|que nulle plus,E quando sua sirocchia udi ciò|si n è tanto lieta|che nulla più
233,Tant ont alé qu il vindrent a l entree d un boscheel,Tant sont alles quilz uindrent a lentree de ung bochel,,Tant ont ale quil vindrent a lentree dun bosquel,Tanto ebono andato|ch elli venero all entrata d un boschello
234|235,si troverent une maison haute close de trilleiz|et de fossez,si trouuerent une maison close de fosses,,si y trouerent vne maison Thaute|qui estoit close de trelles|& de fosses,si trovarono una magione forte|e alta chiusa di paliccio|e di fosato
,,,,et lez,
236,Et les damoiseles descendent,Et les deux damoiselses se deschendent,,ij|damoiseles descendent,; elle due damigelle discendono
237,et dient a Lancelot qu il descende mes il dist,et dient a lancelot quil deschende pour disner,,& dient a lancelot quil descende|mais il dist,e dicono a Lancelotto|ch elli discenda ma e' lor dice
238|239|240|241,que no fera|car il a trop a aler|Sire font eles|si feroiz,car bien scaiuent quil ne menga huy,que mas no podia ser y,que non fera|quar il a trop a aler|Sire font elles pour vous: desgeuner,che non farà|ch elli à troppo ad andare|saSire dicon elle
242|243|244,por desjeuner vos I|poi|car nos savons bien,,ansi fueron|hasta que llegaron avnas matas adonde hauia vna casa çerrada de buenas carcallas|e tanto,j|poi|quar vous saues bien,si farete per disinare voi un poco ché noi sappiam bene
245,que vos ne manjastes hui,,que ay llegaron las donzellas dixeron adon lanzarote,que vous ne mangastes hui,che voi non mangiaste oggi
246,Et il descent,Et il deschent,que quisiese alli aluergar|mas dixo el quelo no faria,& il descent,E elli discende
247,et la vielle,et la uieille aussi,ca tenia otra parte mucho|que adouar señor Dixeron ellas pordios no yredes de aqui sin comer,& la vielle aussi,e lla vecchia altresi
248,Et quant il ont mangié,Et quant ilz eusrent menge,que oy no hauedes comido,Et quant il ont beu,Quand egli ebbono|e mangiato
249,et beu Lanceioz dist a la damoisele qu il avoit au matin encontree Damoisele ai je fait ce,et beu lancelot dist a la damoiselle|ay ie fait ce,entonçes deçendio don lançarote|e la donzella vieja conel,et mangie a plente lancelot dist a la damoisele quil auoit au matin encontree|Damoisele ai ie bien fet ce,e bevuto Lancelotto disse alla damigella|ch elli avea al matino infcontrata
,,,,,: Damigella ò i' ben fatto ciò
250,que je vos promis,que uous ay promis,e comieron|e folgaron conlas dos donzellas,que vous mauies dit Sire fait elle oil dieu merci,che voi impromissi
,,Sire fist elle ouy dieu merci,,,
251,et la vostre,et la uostre,e despues,& la vostre,e la vostra
252|253|254,— Or vos pri je|donc por vostre preu|et pour le servise,Or uous priay ie|que pour le seruice,que hubieron Comido dixo don lanzarote ala donzella porquien el fiziera aquello donzella vien sabedes|que yo fize todo lo|que vos prometi en vos dar avuestra hermana agora quiero,Or vous pri iou|dont feses pour le seruice,— Or vo priego dunque diss elli per vostro pro|e per lo mio|e per lo servigio
255,que je vos ai fait,que ie uous ay fait,que fagades lo,que iou vous ai fait,ch i' vo ho fatto
,,,,et pour vostre preu,
,,,que me prometistes señor dixo ella muy degrado fare yo,,
,,,quanto mevos mandaredes pues agora vos Ruego,,
256,que vos ailliez a la cort le roi Artus,que uous alles a la court du roy artus,que vaiades ala corte del Rey artur,que vous aillies a la cort le roy artus,che voi andiate alla corte del re Artù
257|258,et dites la roine|et a touz cels,et dictes a la royne|et a tous ceulx,e digais ami señora la Reyna y el Rey y a todos los dela corte,& dites a la royne|& a tous chiaus,e dite alla reina|e a tutti que'
259,que vos troverez,que uous y trouueres,,que uous y troueres,che vo vi troverete
260,que bien sachent il,que bien sachent,,que bien sachent il,che ben sappiano elli
261|262,que Lanceloz del Lac n est|? mie morz ainz est sains,que lancelot du lac nest pas mort:,que don lançarote del lago es viuo y sano y,que lancelot del lac nest mie mors|ains es sains|& haities,che Lancelotto de Lac non è mica morto anzi è sano
263|264,et hetiez|et que vos beustes,et dictes|que uous beustes,que vos manda el deçir esto,et dites hardiement|que vous beustes,e atato|;|e che vo beveste
265|266,et menjastes avec I|chevalier,et mengastes auecques ung cheualier,porque entiendo,& mangastes auec|cheualier,e mangiaste con esso un cavaliere
267|268|269|270,qui avoit ersoir mengié avec lui|et geu en I|lit|— Sire fet ele je n en serai mie creue se je n an sui plus certainne,qui le soir auoit menge auecques luy|Sire fait elle ie nen seray pas creue|se ie nen suys plus certaine,que plazera a todos los dela corte señor dixo la donzella no sere creida sino lleuase algunas señales yo vos digo verdaderamente,qui auoit hier soir beu|& mangie aueques lui|& geu en|i|lit: Sire fet elle iou nen serai mie creue|se iou nen sui plus certaine,ch avea iersera bevuto|e mangiato con Lancelotto|e giaciuto in un letto|—ire diss ella i' non sarò mica creduta s i' no ne sono più certana
271|272,— Je vos di fait il seurement qu il est sains|et haitiez,Ie uous diz fait il quil est sain|et haictie,que el es sano y alegre,Iou vous di certainement quil est sains|& haities,— l vo dico diss elli sicuramente|ch egli è sano|e atato
273|274|275|276|277,et bien em poez aseurer ma dame la roine|— Enon Deu fait la damoisele|dont sai je bien|que je ne|puis faillir a estre riche dame,et bien en poues asseurer ma dame la royne|Eu nom dieu fist la damoyselle|donc ne en puige faillir|a estre riche dame,e vos faze dende segura ami señora la Reina puesque verdad dixo la donzella yo no puedo escapar de ser Rica dueña y poderosa|e yo se bien|que tanto,& bien en poes asseurer madame la royne|Enon dieu fait la damoisele|dont sai iou bien|que ie ne|puis faillir a estre riche dame,e ben ne potete asicurare mia dama la reina|— A nome di Dio disse la damigella i' so ben dunque|ch i' non posso fallire a essere ricca dama
278|279|280,et puissanz|si tost com je avrai ceste nouvele contee a cort|car je ne dout pas,et puyssante|si tost comment ie auray compte ceste nouuelle au roy|car ie ne doubte pas,que las nuebas dixere|que no puede ser,& poissant|si tost comme iou aurai ceste nouelle contee a cort Car iou ne me dout pas,e posente|si tosto com io arò questa cosa contata a corte|ch i' non mi dotto passo
281|282|283,que li rois ne me doinst chastel ou cité se je avant li|puis conter ceste nouvele|que autres,que le roy ne me denne chasteau ou cite|se ie luy|puis compter deuant ung aultre ATant sen part lan,que el Rey no me de vn buen Castillo o villa en albriçias|si dios quisiere|que yo diga estas nuebas antes|que otro,que li roys ne me doinst ou castel ou cite se iou auant le|puis conter|que autres,che l re non mi doni castello o città s io innanzi li posso contare questa novella|che altri
284|285,Et il dist|que ce li plest moult,de la damoyselle|et sen uent luy,asi sera çierto dixo lançarote y mucho me plazera dello,& il dist|que ce li plaist moult,che ciò li piace molto
286|287,Atant s em part Lanceloz des damoiseles|et monte en son cheval;,,entonçes se partio dellas don lanzarote y fuese consu donzella vieja y andubieron fasta la noche,A tant sen part lancelot dez damoiseles|& entre en son chemin,si parte Lancelotto dalla damigella|e monta in su' cavallo
288,si s an vont entre lui,,que aluergaron envn monasterio de dueñas Como el Rey artur,& sen Tuait entre lui,si se ne va intra lui|e lla vecchia
,,,,,;
289|290,et la vielle|et errerent dusqu au soir qu il vindrent a une blanche abaie de nonains,et la uieille|et cheuauchent iusques au soir qu ilz uindrent en une abbaye de nennains,e la Reyna dieron en albriçias ala donzella el Castillo Porlas nuebas,& la uielle fni el|& errerent iusques au soir quil vindrent a vne blance abbaye de nonniaus:,e andarono|tanto che fu alquanto aserito|ch elli venero in una abadia di monache
291,Et la damoisele se part de sa seror,Et la damoiselle se part de sa seur,que hauia traydo de lançarote La donzella,et la damoisele se part de sa serour,La damigella|si parte da sua sirochia
292|293,si fost comme Lanceloz s en fu alez|et chevauche vers Camaalot lie,sy tost comment lan|sen fut alle|Si cheuaucha uers kamalot monlt ioieuse,que don Lançarote mando yr ala corte del Rey artur se partio,si tost comme lancelos sen fu ales|si cheualcha vers camaalot lie,si tosto come Lancelotto se ne fu andato|e cavalca inverso Kamalot lieta
294|295,et joieuse|Si i vint l andemain a ore de vespres,et lendemain a heure de uespres se trouua a la court,luego desu hermano|e fuese a camalot muy alegre y con muy gran plazer y allego y,& ioieuse|si y uint lendemain a heure de uespres,e gioiosa|si venne lo ndomane ora di vespero
296,et li rois n iert pas en la sale en cele ore ainz ert en I,Le roy nestoit pas en la salle a celle heure,otro dia amedio dia el Rey no hera y,et li roys nestoit mie en la sale a cele heure|ains estoit en,
,,,,j,
297|298,prael|qui ert desouz la tor,ains estoit en ung prael dessoulz la tour,ca se leuantara de gran mañana|e fuerase a un prado muy fermoso|que estaua so la torre,prael|qui estoit desous la tour,ch era di sotto la torre
299|300,et o lui estoient plusor des barons|Et ele descent,auec luy plusieurs de ses barens|elle deschent,e conel muy gran Compaña de caualleros|e Ricos|omes,& auec lui estoient pluisors de sez barons|et la damoisele descent de son palefroi,e con esso lui erano più di suoi baroni
301|302,et baille son cheval a garder a I|garçon,et baille son cheual a garder a ung garchon,e la donzella desçendio ante el palaçio y dio el palafren a vn niño|que selo tubiese,et le baille a garder a|i|garchon,;
