a	b	c	d	e
199	—		mas ayna	— Se m aiuti ldio	
200|201|202|203|204|205|206|207|208	Si m aïst Diex fait il|si ferai je aseur en soiez|Atant s em part Lanceloz de laienz;|et quant il furent|I|poi esloingnié il demande a la damoisele qu il portoit|qui avoit|si le chevalier navré|Sire fait ele je le vos dirai	Si mait diex fet il|si ferai iou asseur en soies vous Atant sen part lancelot|Et quant il furent|j|poi eslongies il demande à la damoisele quil auoit laiens prise|qui auoit ensi naure le cheualier|Sire fet elle iou le vous dirai	que pudieredes deso dixo el cauallero sedvos bien seguro Como don lançarote ymbio consu mensaje ala donzella al Rey Artur|e ala Reyna Entonzes se partieron del cauallero|e desque fueron alongados dela torre pregunto don lançarote ala donzella|que antesi lleuaua|que quien llagara aquel cauallero señor dixo ella yo voslo dire sabed	diss elli|si farò io|asicuro ne siate vois|“Altanto se ne parte Lancelotto di là entro|Quando fu un poco islungato|Lancelotto domand alla damigella|che portava chi aveva insi il cavaliere inaverato||diss ella|il vi dirò	si maist dieu dit il aussi feray ie|Tant se part lancel ot deleans|⁊ quãt ilz furent ung peu eslongniez il deman da a la damoiselle quil emmenoit auec lui qͥ auoit ainsi naure le cheualier Sire dit la da moiselle iele uous compteray bien|Quãt il E|i|me eust prinse a forche cõme ma seur scait biẽ|si me ẽmenoit ꝑ cest chemi
209|210|211	Quant il m ot prise a force|si com ma suer set bien|si m anmenoit par cest chemin	Quant il mot prise ensi comme ma suer le set bien|il menmenoit par chest chemin	que quando aquel cauallero me tomo|por fuerça metiome|por aqueste camino pordo agora nosotros ymos	: quand e' m ebbe presa a forza|si come mia serocchia sa bene|si mi menava per questo camino	⁊ ie plouroie mõlt tendremẽt|si encõtrasmes deux cheualiers de cest paps a
212	et je plouroie moult durement	et iou ploroie moult durement :	e yo yba façiendo el mayor duelo del mundo	e io piagnea molto duramente	qui il print pitie de moy
213|214|215|216|217	et|tant que nos encontrasmes II|chevaliers de cest païs a cui il prist pitié de moisi qu il se pristrent a lui|et li firent les plaies|dont il gist;	Et|tant que nous encontrames|ij|cheualiers de cest pais a|qui il prist pitie de moi|Si se pristrent a lui|& li firent lez plaies|dont il gist	e nos viniendo|ansi encontramos con dos caualleros desta tierra|e ouieron demi gran duelo|e trauaxaronse demele quitar	Tanto andamo|che noi incontramo due cavalieri di questo paese a cui elli prese piatà di me|e li feciono le piaghe|donde elli giace|	si se prin¬ drent a tuy:|et lup firent les plapes dõc il gist mes il se desfendist
				si che	
				si presono a llui	
218|219	mais il se desfandi|si bien qu il les occist enI	Mais il se desfendi|si bien quil lez ocist ambe|ij	mas el se defendio tan fuertemente quelos mato a ambos y ellos lo llagaron ansy	si difende|si bene|ch elli li ucise aminduni	si bien quil les occhit tous deux
				e poscia mi menò a qualche pena	
220	puis m anmena a quelque poinne ainsi navrez com il estoit dusque la ou vos me trovastes	puis menmena a|quel que paine ensi naures comme il estoit iusques la ou vous me trouuastes	como yaze tan mal trecho segund|que vistes pero metiome alli donde me fallastes desque y fuimos fallose muy maltrecho dela sangre	insi fedito com egli era|insin qua dove vo mi trovaste	puys me ẽmena iusques la ou uoꝰ me trouuastes
					
221	Et quant il fu descenduz il se trova	Et quant il fu descendus|si se troua	que perdiera delas muchas llagas enguisa	elli|si trovò	Et quant il fus uenu il se trouua
222|223	si malades qu il cuida bien illuec morir:|si se fist couchier a grant besoing	si malades quil quida bien morir|Si se fist coulchier a grant besoing	que luego cuido ser muerto y echose luego enel lecho	si malato|ch elli crede bene nel luogo morire|si si fece coricare a gran bisogno	si mallade qͥl cuida moucir|et se fist coucher ne oncq̃x
224	si ne dist	si ne dist		:|si non disse unque poscia guari motto	puis ne dist mot
225|226	puis gaires mot fors tant com il parla ore a vos|quant il vit	puis gaires mot fors ce quil parla ore a vous|quant il vit	e nunca despues aca fablo tanto|como agora avos|quando vio	fôrse tanto come parlò ora a voi quand e' vide	fois tant quil par la a uous quãt il ueist
227	que vos m anmeniez	que vous men volies mener	que me traiades y	che vo' me ne menavate	que uous me ẽmenies
					si men est hiẽ aduenu dieu mercy
228|229	Si m en est bien avenu qu il ne me fist nule chose|qui me despleust	si men est moult bien auenu dieu merci|quant il ne me fist onques chose|qui me despleust	ansi escape|que nunca me fizo cosa conque me pesase sino|quanto me traxo	Si m è molto bene avenuto|che no mi fece unque cosa|che mi dispiacesse	car il ne me a fait chose qͥ me aist despleu
230|231|232	Et quant sa suer ot ce|si est tant liee|que nule plus	Et quant sa suer oi ce|si fu tant lie|que nulle plus	E quando esto oyo su hermana fue tan alegre	E quando sua sirocchia udi ciò|si n è tanto lieta|che nulla più	Et quãt sa seur loupt|si en est mõlt iopeuse
233	Tant ont alé qu il vindrent a l entree d un boscheel	Tant ont ale quil vindrent a lentree dun bosquel		Tanto ebono andato|ch elli venero all entrata d un boschello	Tãt sont alles quilz uindiẽt a lentree de ung bochel
234|235	si troverent une maison haute close de trilleiz|et de fossez	si y trouerent vne maison Thaute|qui estoit close de trelles|& de fosses		si trovarono una magione forte|e alta|chiusa di paliccio|e di fosato	si trou¬ uerẽt une maison cl ose de fosses
		et lez			
236	Et les damoiseles descendent	ij|damoiseles descendent		; elle due damigelle discendono	Et les deux damoiselses se deschendent
237|238|239|240|241|242|243|244	et dient a Lancelot qu il descende mes il dist|que no fera|car il a trop a aler|Sire font eles|si feroiz|por desjeuner vos I|poi|car nos savons bien	& dient a lancelot quil descende|mais il dist|que non fera|quar il a trop a aler|Sire font elles pour vous: desgeuner|j|poi|quar vous saues bien	que mas no podia ser y|ansi fueron hasta|ca tenia otra parte mucho|que adouar señor Dixeron ellas pordios no yredes de aqui sin comer	e dicono a Lancelotto|ch elli discenda|ma e' lor dice|che non farà|ch elli à troppo ad andare|saSire|dicon elle|si farete per disinare voi un poco|ché noi sappiam bene	et dient a lance¬ lot quil deschende pour disner|car bien scai¬ uent quil ne mẽga huy|Et il deschẽt
			que llegaron avnas matas adonde hauia vna casa çerrada de buenas carcallas		
			e tanto		
			que ay llegaron las donzellas dixeron adon lanzarote		
			que quisiese alli aluergar		
			mas dixo el quelo no faria		
245	que vos ne manjastes hui	que vous ne mangastes hui	que oy no hauedes comido entonçes deçendio don lançarote	che voi non mangiaste oggi	
246|247	Et il descent|et la vielle	& il descent|& la vielle aussi	e la donzella vieja conel	E elli discende|e lla vecchia altresi	et la ui eille aussi
				Quand egli ebbono	
248	Et quant il ont mangié	Et quant il ont beu	e comieron	e mangiato|e bevuto	Et quant ilz eusrent mẽge
			e folgaron conlas dos donzellas		
249	et beu Lanceioz dist a la damoisele qu il avoit au matin encontree Damoisele ai je fait ce	et mangie a plente lancelot dist a la damoisele quil auoit au matin encontree|Damoisele ai ie bien fet ce	e despues|que hubieron Comido dixo don lanzarote ala donzella porquien el fiziera aquello donzella vien sabedes	Lancelotto disse alla damigella|ch elli avea al matino infcontrata	et heu lancef at dist a la damoisclle ay le fait ce
				: Damigella	
				ò i' ben fatto ciò	
250|251	que je vos promis|	que vous mauies dit Sire fait elle oil dieu merci	que yo fize todo lo|que vos prometi en vos dar avuestra hermana agora quiero	che voi impromissi|	que uous ay promis|Sire fist elle ouy dieu mer ci
				Dio mercé	
252	et la vostre	& la vostre	que fagades lo	e la vostra	et la uostre
253|254|255|256	— Or vos pri je|donc por vostre preu|et pour le servise|que je vos ai fait	Or vous pri iou|dont feses pour le seruice|que iou vous ai fait	que me prometistes señor dixo ella muy degrado fare yo|quanto mevos mandaredes pues agora vos Ruego	— Or vo priego dunque|diss elli|per vostro pro|e per lo mio|e per lo servigio|ch i' vo ho fatto	Or uous priay ie q̃ pour le ser¬ uice|que ie uous ay fait
		et pour vostre preu			
257	que vos ailliez a la cort le roi Artus	que vous aillies a la cort le roy artus	que vaiades ala corte del Rey artur	che voi andiate alla corte del re Artù	que uous alles a la court du rop artus
258|259	et dites la roine|et a touz cels	& dites a la royne|& a tous chiaus	e digais ami señora la Reyna y el Rey y a todos los dela corte	e dite alla reina|e a tutti que'	et dictes a la royne|⁊ a toꝰ ceulx q̃ uous y trouueres
260|261	que vos troverez|que bien sachent il	que uous y troueres|que bien sachent il		che vo vi troverete|che ben sappiano elli	que biẽ sachent
262|263	que Lanceloz del Lac n est|? mie morz ainz est sains	que lancelot del lac nest mie mors|ains es sains|& haities	que don lançarote del lago es viuo y sano y	che Lancelotto de Lac non è mica morto|anzi è sano	que lancelot du lac nest pas moit:
264|265	et hetiez|et que vos beustes	et dites hardiement|que vous beustes	que vos manda el deçir esto	e atato|;|e che vo beveste	⁊ dictes q̃ uous beustes
266|267	et menjastes avec I|chevalier	& mangastes auec|cheualier	porque entiendo	e mangiaste con esso un cavaliere	⁊ mẽgastes auecq̃s ung cheualier
268|269|270|271	qui avoit ersoir mengié avec lui|et geu en I|lit|— Sire fet ele je n en serai mie creue se je n an sui plus certainne	qui auoit hier soir beu|& mangie aueques lui|& geu en|i|lit: Sire fet elle iou nen serai mie creue|se iou nen sui plus certaine	que plazera a todos los dela corte señor dixo la donzella no sere creida sino lleuase algunas señales yo vos digo verdaderamente	ch avea iersera bevuto|e mangiato con Lancelotto|e giaciuto in un letto|i' non sarò mica creduta s i' no ne sono più certana|— l vo dico	qui le soir auoit mẽge auecq̃s luy|Eire fait elle ie nen seray pas creue
				diss elli	
				—ire	
				diss ella	
272|273	— Je vos di fait il seurement qu il est sains|et haitiez	Iou vous di certainement quil est sains|& haities	que el es sano y alegre	sicuramente|ch egli è sano|e atato	se ie nen
274|275	et bien em poez aseurer ma dame la roine|— Enon Deu fait la damoisele	& bien en poes asseurer madame la royne|Enon dieu fait la damoisele	e vos faze dende segura ami señora la Reina puesque verdad dixo la donzella yo no puedo escapar de ser Rica dueña y poderosa	e ben ne potete asicurare mia dama la reina|— A nome di Dio|disse la damigella	si ys plus cer¬ taine|Ie uous diz fait il quil est sain ethaictie ethien en poues asseurer ma dame la royne|Eu nom dieu fist la damoyselle
276|277|278	dont sai je bien|que je ne|puis faillir a estre riche dame	dont sai iou bien|que ie ne|puis faillir a estre riche dame	e yo se bien|que tanto	i' so ben dunque|ch i' non posso fallire a essere ricca dama	donc ne en puige faillir|a estre riche dame
279|280|281	et puissanz|si tost com je avrai ceste nouvele contee a cort|car je ne dout pas	& poissant|si tost comme iou aurai ceste nouelle contee a cort Car iou ne me dout pas	que las nuebas dixere|que no puede ser	e posente|si tosto com io arò questa cosa contata a corte|ch i' non mi dotto passo	et pupssante|si tost cõment ie auray compte ceste nouuelle au roy|car ie ne doubte pas
282|283	que li rois ne me doinst chastel ou cité se je avant li|puis conter ceste nouvele	que li roys ne me doinst ou castel ou cite se iou auant le|puis conter	que el Rey no me de vn buen Castillo o villa en albriçias|si dios quisiere|que yo diga estas nuebas antes	che l re non mi doni castello o città|s io innanzi li posso contare questa novella	que le roy ne me dõne chasteau ou cite
284	que autres	que autres	que otro	che altri	se ieluy
285|286|287	Et il dist|que ce li plest moult|Atant s em part Lanceloz des damoiseles	& il dist|que ce li plaist moult|A tant sen part lancelot dez damoiseles	asi sera çierto dixo lançarote y mucho me plazera dello entonçes se partio dellas don lanzarote y fuese consu donzella vieja y andubieron fasta la noche	|che ciò li piace molto||si parte Lancelotto dalla damigella	puis cõpter de uãt ung aultre Tant sen partlan|de la damoyselle
288|289	et monte en son cheval;|si s an vont entre lui	& entre en son chemin|& sen Tuait entre lui	que aluergaron envn monasterio de dueñas Como el Rey artur	e monta in su' cavallo|si se ne va intra lui|e lla vecchia	⁊ sen uõt luy
				;	
290|291	et la vielle|et errerent dusqu au soir qu il vindrent a une blanche abaie de nonains	& la uielle fni el|& errerent iusques au soir quil vindrent a vne blance abbaye de nonniaus:	e la Reyna dieron en albriçias ala donzella el Castillo Porlas nuebas	e andarono|tanto che fu alquanto aserito|ch elli venero in una abadia di monache	et la uieille|et cheuauchent iusq̃s au soir qͥlz uindrẽt en une abhape de nõ nains
292	Et la damoisele se part de sa seror	et la damoisele se part de sa serour	que hauia traydo de lançarote La donzella	La damigella|si parte da sua sirochia	Et ladamoiselle se part de sa seur
293|294	si fost comme Lanceloz s en fu alez|et chevauche vers Camaalot lie	si tost comme lancelos sen fu ales|si cheualcha vers camaalot lie	que don Lançarote mando yr ala corte del Rey artur se partio luego desu hermano	si tosto come Lancelotto se ne fu andato|e cavalca inverso Kamalot lieta	sy tost cõment lan|sen fut alle|Ei cheuaucha uers liamalot monlt ioieuse
295|296	et joieuse|Si i vint l andemain a ore de vespres	& ioieuse|si y uint lendemain a heure de uespres	e fuese a camalot muy alegre y con muy gran plazer y allego y	e gioiosa|si venne lo ndomane ora di vespero|	et lendemain a heure de uespres se trouua a la court
297|298	et li rois n iert pas en la sale en cele ore ainz ert en I|prael	et li roys nestoit mie en la sale a cele heure|ains estoit en|j|prael	otro dia amedio dia el Rey no hera y|ca se leuantara de gran mañana|e fuerase a un prado muy fermoso	anz'era in un pratello	Le roy nestoit pas en la salle a celle heure|aĩs estoit en ung prael dessoulz la tour
299|300	qui ert desouz la tor|et o lui estoient plusor des barons	qui estoit desous la tour|& auec lui estoient pluisors de sez barons	que estaua so la torre|e conel muy gran Compaña de caualleros	ch era di sotto la torre|e con esso lui erano più di suoi baroni	auec lup plu¬ sieurs de ses barõs
