	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
125	si vos dirai ore seurement ce 	Si uus dirai ore seurement ce 	Si vous dirai ce |que vous me denmandastes. 	Si uous diray seurement ce 	si uous diray seurement ce	e agora os direlo |que me preguntastes seguramente 	questi, |si vi dirò ora sicuramente ciò 
			ore le me dites 				
		que uos me demandates na gaires. 					
		Dites 					
126	que vos me demandastes n’a encor gaires. — Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	dont damoisele fait il. |SIre fait ele par foi entre moi et .i. cheualier 	dont fait bohors. |Par foy sire fait elle entre moi et. i. cheualier 	que uous me demandastes. dictes fait il. |par foy fait elle moy et ung cheualier 	que uous mauez demande. |Par ma foy fait elle moy et ung cheualier 	Pues deçidmelo dixo boores |asi es dixo la donçella que oy mañana entre mi 	che voi mi |domandaste. — Dite, diss’elli. — laPer fé, diss’ella, intra me e uno cavaliere 
127	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mes amis estoit. cheuauchiens hui matin parmi cest chastelet illuec. 	qui mes amis estoit cheualchiemes parmi chest chastel. 	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez 	qui mon amy estoit cheuauchions parmi cest chasteau. 	e vn cauallero |que hera mi amigo pasamos poreste castillo 	che mio amico era cavalcamo oggi mattinetto per me questo |ricetto, 
128	et quant li freres a celui 	et quant li freres a celui 	Et quant li freres a celui 	Et quant le frere a celuy 	Et quant le frere de celui 	e quando el señor del castillo hermano de aquel 	e quando il fratello di colui
129|130	que vos avés abatu me vit, |si me volt a force prendre, 	que uos aues ore abatu: me uit. |Si me uot a force prandre.	qui vous aues abatu me uit. |si me volt auoir et prendre par force 	quie uous auez ores abatu me uit. |si me uoult prendre a force 	que uous auez abatu me uist |si me uoulut auoir et prendre a force: 	que vos derribastes me vido quisome prender afuerça 	che voi avete ora abatuto mi |vide, |si mi volle a forza|prendere, 
131|132	kar il m’avoit molt longuement amee; |si me prist al frain 	Car il mauoit mout longuement amee. |Si me prist 	quar il mauoit lonc tamps amee. |Si me prist au frain 	car il mauoit longuement amee |si me prist au fraing 	car il me auoit longuement aymee. Il print mon cheual 	e trabo del freno demi palafren 	ché m’avea lungamente |amato; simmi prese al freno 
133	et m’en volt mener a force, 	et me uost mener a force 	et men volt mener a force. 	et me uoult mener a force 	et men uoulut mener a force: 	e quisome llebar 	e mi volle menare a |forza, 
134|135|136	mes mes amis se combati a lui tant qu’il l’ocist. |Et|quant cist 	si tost comme il me tint au fraing. |Mais mes amis se combati a lui |tant |que il locit. |et quant ciz 	Mais mes anis se combati a lui |tant|quil locist. |Et quant chils cheualiers 	mais mon amy se combaty a luy |si loccist. |Et quant celuy 	mais mon amy se combatist a lui |tant qu il loccist. |Et quant celui 	e me vido mi amigo llebar conbatiose conel tanto |quelo mato 	ma mio amico si combatté tanto a-llui |che-ll’ucise.ME quando questo 
137|138|139|140	que vos veez ci ore vit son frere mort, |si fist mon ami prendre a force de vilains et de gens et l’ocist en venjance de son frere. |Mais de moi, |por cui Ses freres avoit esté ocis, dist il 	que uos ueez ore ci uit son frere mort : |si fist mon ami prandre a force de uilains et de gent. |Et locit en la uangence de son frere. |mais de moi p̾ cui ses freres auoit este ocis dist il 	que vous uees chi vit son frere mort. |si fist mon ami prendre par force de vilains. et locist por uengance de son frere |quil auoit ochis. |Et dist 	que uous auez ores cy abatu uit son frere mort |si fist prendre mon amy a force de uilanis et de gens. |si loccist on uengence de son|frere.Mais il dist |quil se uangeroit de moy |pour 	que uous uoiez |cy uist son frere mort il fist mon amy prendre par force de gens et de uillains/ |et loccist en uengance de son frere et dist 	e quando aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente e de villanos |e matolo en enmienda dela muerte desu hermano 	che voi avete qui ora abatuto vide suo fratello |morto, |si fece mio amico prendere a forza di villani e di genti, e l’uccise in vendicanza di suo fratello. |Ma di me, per cui suo fratello avea stato 
141|142	qu’il se vengeroit sans main metre;|si me fist prendre a ces ribaus 	quil sen uangeroit sans main mestre. |Si me fist prandre a ses .iiii. uilains 	quil se vengeroit de moi sans main metre. |et me fist tantost prendre a ches. iiij. ribaus 	qui son frere auoit este occis sans main mectre |si me fist prendre a ces quatre ribaux 	quil se uengeroit de moy sans main mettre.|Si me fist prendre par ces quatre ribaulx 	e dixo que demi se vengaria el seguramente porque fui ocasion dela muerte de su hermano entonçe fiço tomar aquellos quatro villanos 	morto, diss’elli |che-ssi vendicherebbe sanza in me mettere mano,|si mi fece prendere a nfino a tre l rubaldi 
143	que vos veistes et lor commanda 	que uos ueistes|si lor coumanda 	que vous ueistes ore. |et lor commanda 	qui uous ueistes |et leur commanda 	que uous auez ueu|et leur commanda 	que vos vistes 	che vo' vedeste |e loro comandò 
144	qu’il me noiaissent, « 	quil me noiassent. 	quil me noiassent. 	quilz me noyassent. 	quilz me noyassent/ 	e mandoles que me matasen en aquel agua 	che |m’anegassono, 
145|146	kar par armes, dist il, |ne vueil je mie 	Car par hommes ne uoeil ge gaie fait il 	Car par armes dist il ne voeil iou mie 	Car par armes |fist il ne uueil ie pas 	car par armes ne uueil ie pas 	ca por armas no me queria matar 	ché per mano di persona,|diss’elli, non voglio |ch’ella 
147|148|149	qu’ele muire » ; |si m'enmenoient, |si com vos veistes, morir 	quele morit. |Si [cum] amenerent ainsi |com uos ueistes [raqrir] 	que elle muire. |Si me menoient ensi |com vous ueistes |por noier 	quelle meure. |si me menoient pour mourir ainsi |comme uous ueistes 	que elle meure. |Si me emmenoient ainsi |comment uous auez ueu pour noyer 	e ellos me mataran sin falta 	muoia». i-mmi menavano, insi come vo |vedeste, per fare |morire, 
150|151|152	quant vos me venistes secorre par la volenté de Dieu et par la vostre. |Or vos ai conté mon errement ; |si voldroie des Ore mes, 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. Sire fait la damoisele a beħ. |Or uous ai conte mon errement. |Si uorroie desormais 	quant vous me uenistes rescorre par la volente de dieu et la vostre. vous ai conte mon errement |si volroie 	quant uous me uenistes secourir. par la uoulente de dieu et par la uostre |Or uous ay tout comte mon criement. |si uoudroye desormais 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre. |Or uous ay toute compte ma fortune/ |si uouldroie 	si vos porla voluntad de dios |e porla vuestra no me acorrierades agora vos |e contado todo mi acaesçimiento 	quando vo mi veniste a soccorrere per la volontà di Dio e della vostra. |Or vo ho contato tutta mia |ventura, |si vo vorre' da 
153|154	se vostre plaisirs estoit, |que vos me menissois a salveté en un mien chastel 	se uostres [puisses] estoit : |que uos me menissiez a sauuete en .i. mien chastel 	se vostre volentes y estoit|que vous me metissies a sauuete. En vn mien castel 	si uostre plaisir estoit|que uous me menez a sauuete en ung mien chastel 	se uostre uoulente y estoit |que uous me menissez a sauuete en ung mien chasteau 	como me contesçio e querria que me llebasedes a vn mi castillo 	oggimai, se vostro piacere fosse, pregare |che vo' mi conduceste a salvamento in uno mio castello 
155	qui est ci pres. — Volentiers », fet il. 	qui est ci pres. uolentiers damoisele Sire |a 	qui est pres de chi. volentiers fait il 	qui est cy pres. uoulentiers fait il 	qui est cy pres. Voulentiers dit il. 	que es çerca de aqui 	ch’è qui presso. — Volentier. disse |elli». 
156|157|158	Si le prent par les bras |et le monte par devant lui sor le col de son cheval, |si a geté son escu derieres son dos, 	si la prent par le bras |et la mest deuant lui sur le col de son cheual. |Si ageste erranmet son escu derier son dos. 	et il le prent maintenant par les bras |et le met sor le col de son cheual.|et met son escu derriere son dos. 	si la prent par les braz et la monte deuant soy sur le col de son cheual. |si a gecte son escu derriere son dos. 	et il la prent par le bras |et puis la met sur le col de son cheual/ |si a iecte son escu derrier son dos:	si vos plaze de GraDo dixo boores |e luego echo su escudo alas espaldas |e tomola Porel braço e pusola antesi Ensu caballo 	Si-lla prende per lo braccio |e la monta davanti a sé sopra il corpo di suo |cavallo, |si getta suo scudo di dietro suo |dosso, 
159	si s’en vet cele part 	Si sen ua cele part 	si sen torne cele part	et sen uait celle part 	et puis tourne celle part la 	e fuese ansi conella 	si se ne va in quelle parti 
160|161	ou la damoisele li enseigne tant |que ce vint aprés midi 	ou la damoisele li ensangne. |Si cheuaucherent ainsi |tant |que ce uint apres midi.	ou la damoisele lenseigne |Tant que chou vint apres miedi 	ou la damoisele luy enseigne. |tant que ce uient apres medoy 	ou la damoiselle lui enseigne |tant|que uint aprez midy 	por do ella lo yria guiando fasta medio dia 	ove la damigella gli |'nsegna, tanto che ciò venne apresso di mezodi 
162	qu’il voient en un tertre I. bel a chastel, 	et lors uirent deuant aux en lor chemin .i. |tertre.Ou il auoit .i. tres bel chastel. 	que il virent deuant euls vn moult bel castel. 	quilz uoyent deuant eulx en ung tertre ung meoult bel chastel 	que ilz uirent deuant eulx ung moult beau chasteau: 	Que vieron vn muy fermoso castillo 	che vegono davanti loro, in uno poggio, uno castello molto bello. 
163|164	et lors ataignent Il. escuiers|qui issoient d’un bossel 	et lors ataignent .ii. escuiers |qui issoient dun boschet. 	Et lors ataingnent. ij. escuiers a lentree dun boskel 	et lors actaignent deux escuiers |qui yssoient dung boys 	et lors attaignent deux escuiers a lentree de ung petit boix	e alcançaron dos escuderos ala salida devn monteçillo 	Allora agiungono due scudieri |che uscivano d’uno boschello 
165	et aportoit chescuns venoisons trosee detriers soi.	et aportoit chascuns uenison trossee douant soi. 	et portoit cascuns venison torsee derriere lui. 	et chascun aportoit uenoison troussee derriere soy. 	et portoit chacun uenoisen derrier lui troussee. 	que traia cada vno vn corço atroxado trassi 	e aportavano amenduni cacciagione torsata di dietro a |llui. 
166|167|168|169	Quant il virent la damoisele, |si descendent a pié |et li font grant joie |com a celi 	et quant il uirent la damoisele |qui beh̾ auoit deuant luy |si sont dessendu a pie|et li font la plus grant ioie dou monde a cele 	Et|quant il voient la damfolisele |si descendent a pie |et li font si grant ioie comme a celui 	Et quant ilz uirent la damoisele |si descendirent a pie et luy font moult grant ioye comme a celle 	Et quant ilz uirent la damoiselle ilz descendirent a pie |et lui firent si grant henneur et si grant ioye comme a celle 	e desque vieron la donçella desçendieron apie |e fueron |e fezieron gran alegria conella 	E quand’e' vidono la |damigella, si discenderono immantanente a ppiè |e gli fanno grande gioia |come a colei 
170|171	qui lor dame estoit |mais molt se merveillent de ce 	qui leur lige dame estoit |Mais mout se merueillent 	qui lor dame estoit. |mais moult sesmerueillent de ce 	qui leur dame estoit.|mais moult se merueillent de ce 	qui leur dame estoit: |mais moult se merueillent de ce 	como aquella que hera su señora mas mucho se marauillaron 	che loro dama |era, |ma molto si maravigliarono di ciò 
172|173	qu’il la virent plorer: |si li enquierent 	quant il la uirent si plorer. et plus de son ami |que il ne uerent pas mandent 	quil la voient plorer. |si li demandent 	quilz la uirent plourer. |si luy enquierent 	qu ilz la uoient plourer: |si demandent 	porque la vian ansi venir 	che lla vidono|impiagnendo. |Si-lla inchiesono 
174	que ele a. 	que ele a. 	que elle a. 	quelle a. 	que elle a. 	e preguntaronla que auia 	ch’ell’avea, 
175|176	Et ele lor dit |comment ses amis avoit esté ocis, «	et ele lor dit |et conte |coment ueuir auecques li. |Si li en quierent |et de ses amis auoit este ocis. au chastel 	Et elle lor conte |comment sez amis auoit este ochis. 	et elle leur comte |comme son amy auoit este occis. 	et elle leur compte |comment son amy auoit este occy/	e ella les conto |como su amigo hera muerto 	ed ella lor disse come suo amico era stato 
177|178	et je meismes euisse esté morte. |se ne fust cis frans chevaliers	ou il trespasoient. Sire |meismes fait ele eusse este morte : |Ce ne fust ciz frans cheualiers ci. 	et iou meisme eusse este ochise. |se ne fust cils frans cheualiers 	Et ie mesmes fait elle feusse morte |se ne fust ce franc cheualier 	et moy mesmes eusse este occie |se ne feust ce franc cheualier	e dixo yo mesma fuera muerta sino fuera por aqueste buen cauallero 	ucciso, «ed io |medesima, |diss’ella, fosse stata |morta, se non fosse questo franco cavaliere 
179	qui par sa debonaireté me resqueust 	qui par sa debonairete 	qui par Sa debonairete ma rescousse. 	qui par sa debonairete ma rescousse. 	qui par sa debonnairete ma rescousse 	que me libro 	che per sua dibonarità mi |riscosse, 
180|181	et se mist em peril de mort |por ma vie sauver. » 	et par sa franchisse marescosse des mains a mes anemis et se mist en peril de mort |por moi sauuer. |et se ne lauoie ie pas deserui. |et diex doint |que ie li puisse guerredoner.	et se mist en peril de mort pour moi sauuer. 	et sest mise on peril de mort |pour sauuer ma uie. 	et sest mis en peril de mort |pour moy sauuer. 	e se metio en peligro de muerte |Por me librar 	si si misse in periglio di morte per mia vita salvare». 
182	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	Lors conseille maintenant la damoisele a .i. des escuiers. |et il destrore maintenant sa uenisson 	Et lors conseilla elle a. j. de ses escuiers|Et cil destorse tout maintenant sa venison 	Et lors conseille a lun 	Et lors elle parle a conseil a ung des escuiers 	e luego destroçaron el vn corço |e pusieronlo enel Palafren 	Allor si consiglia con |l’uno, 
