micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
que vos dites ?  Certes je ne di mie 	que dictes uous:  certes ie ne diz pas 	que uous me dictes. Ie ne dy pas 	Certes ie ne cuit mie	que uous dites.  Certes ge ne di mie 	que vous dites  Certes iou ne di mie 	que dezides  Ca çierto yo no lo digo 	che vo' dite? 
qu’il ne soit prodom et vaillanz.  mais il a molt a faire en I. prodome, plus 	qu il ne soit preudomme et uaillant mais moult a plus a faire ung preudomme 	quil ne soit preudomme  et uaillant  Mais moult y a a faire en ung preudomme plus 		que il ne soit preudom  et uaillant mes il a molt plus afere en .i. preudom 	quil ne soit preudom et uaillans.  mais il i a plus a faire en vn preudomme 	por despreçiar aeste Cauallero 	Certo, 
que je ne cuidoie hui  matin.Si ai tant apris en cest jor d’ui 	que ie ne cuidoie huy matin. Si ay tant aprins en ce iour 	que ie ne cuidoye a matin.  si ay tant apris en ce iour		que ge ne quidoie hui  matin.Si ai tant apris en cest iour  dui. 	que iou ne quidoie hui matin. Si ai tant apris en ce iour de hui 	que me semeja mucho bueno  mas mucha mas bondad 	i’ non dico mica 
que je cuit  qu’il ait el monde 	que ie cuide  quil nait au mende 	car ie cuide  quil ny a ou monde 	que il ait el monde 	que ge cuit  que il ait el monde	que iou ne quit pas  quil ait el monde 	ay en otro cauallero 	ch’elli non sia produomo e valentre, 
que I. prodome. Mais celui  que je di ai je bien hui veu esprouver entre chevaliers  que puis que chevalerie fu establie, ne cuit je  que hons mortex feist tels merveilles  com il a hui faites. » 	que ung seul preudomme  mais celui  que ie ay huy ueu esprouuer centre cheualiers cuide ie uraiement  qu il ny a au monde cheualier  qui tant ait fait de cheualerie  comme il a huy fait. 	que ung preudomme.  Mais celuy  que ie dy ay ie huy bien ueu esprouuer entre cheualiers. car oncques  puis que cheualerie fu establie ie ne cuide pas  que homme mortel feist telz merueilles  commie il a huy faictes. 	que .I. preudome.  Mais celui ai ie hui ueu esprouer entre cheualiers  que cherrie fu establie  :  ne cuit que hons mortes feis tex meruelles  com il a hui faites. 	que .i. preudom.  Mes celui  qui ge di. ai gehui si bien ueu esprouuer entre cheualiers.  que puis que cheualierie. fu establie ne cuit ge  que hom mortel feist tiex merueilles  comme il a hui fetes.	que. j'. seul preudomme.  Et celui que iou di ai iou hui ueu si bien esprouer entre cheualiers que puis que cheualerie fu establie. ne quit iou mie  que hom morteus feist autant de merueilles  comme il a hui faites. 	que yo vi oy de mañana  que segund creo enel mundo no ay mas de aquel Cauallero  e desque Caualleria fue Començada nunca vi ome tal tanto fazer envn dia  como este fizo 	ma elli à molto più a-ffare un produomo  ch’i non credea oggi matino.  Si ò tanto apparato in questo giorno d’oggi 
Lors li demande la dame  ausi  comme s’ele n’i eust mie esté: « Sire, ou fu ce  que veistes celui chevalier  que vos dites ? —	Et lors lui demanda la dame aisi  comme se elle ny eust este. Sire  ou fut ce  que uous ueistes celui preudomme  que uous dictes. 	Lors luy demande aussi  comme selle ny eust pas este. sire  ou fu ce que uous ueistes ce cheualier  que uous dictes. 	Lors li dit la dame  ausi  com cele ni eust mie este. Sire ou fu ce  que uos ueistes cel cheualier 	Et lors li demande la dame aussi  comme s ele ni eust pas este. Sire :  ou fu ce  que uos ueistes celui preudome que uous dites. 	Lors li demande la dame aussi  comme sele nen seust riens.  ne  que se elle Lni eust mie este. Sire  ou fu ce  que vous ueistes celui cheualier  que vous dites 	y ella dixo estonçes  como sino fuera alla señor vistes vos ese Cauallero  çierto  dixo el 	ch’i'non credo  ch’elli abbia al mondo che un produomo.  Ma quelli
Ce fu, fait il, a l’assembles le roi Baudemagu et del roi de Norgales. —  Ha, sire. 	Ce fut dit il a lassemblee du roy bademagus et du roy de norgalles  Haa sire 	Cest fait il a lassemblee du roy bandemagus et du roy de norgales.  Haa sire pour dieu 	que uos de̶ites. Ce fu fait il a lasanblee le roi bademagu et le roi de norgales. Sire fait ele 	Ce fu fet il a lasemblee del roy badem̃ et del roy de norgales.  Biau sire fet ele 	Che fu fait il a lassamblee del Roy baudemagu et del Roy de norgales.  ha : sire fait elle	yo lo vi enel torneo del Rey bandemagus  e del Rey de norgales 	ch’i' dico ò i' oggi veduto si bene ispronare intra cavalieri 
quiex greingnors merveilles pooit il faire  que li autre faisoient ? —  Quelz, dame ?  Ce ne vos avroie je ouan conté.  Par foi, ja Diex ne m’aïst 	quelles greigneures merueilles faisoit il  que ung autre.  Quelles. dames ie ne le uous auroie pas dit par moy en xu. iours. ia dieu ne maist 	et quelz plus grans merueilles pouoit il faire plus  que les autres.  quelz dame fait il.  ce ne uous auroye ie ouan compte. Certes fait il ia dieu ne maist 	quex grignois merueilles pooit il faire  ne que uns autres. 	quiex greignors merueilles pooit il fere  que les autres.  Quiex : dame:  fet ilz ge ne uous auroie mie dit en .i. an 	quels merueilles pooit il faire nient plus que li autre.  Queles : dame fait li sires iou ne vous auroie en. i.  an aconte par moi les merueilles 	y vi las marauillas  que fizo y esto no lo podriades vos bien sauer demi  que dios no me aiude 	che poscia che cavalleria laol See del re di Norgales.  — Bel sir, diss’ella, 
se je savoie pas raconter ce  que je li vi faire, 	se ie uous sauroie compter ce  que ie lui uiz faire 	si ie scauroye pas raconter ce  qui ie luy uey faire 	quex dame fait il. Ie nel uos sauroie mie raconter	ce  que ie li ui fere. 	que il fist.  Et porcoi sire fait elle. pour ce fet il 	si yo podria contar la quarta parte delas marauillas  quele vi fazer 	qual maggior maraviglia poteva egli fare 
ne vos ne m’en creriez mie,  se je vos juroie sor sainz,  car il vos sambleroit merveilles. »  Et cele cui il plest? a escouter ce 	Uous ne men croiriez pas et le uous iurasse ie sur sains  car se uous sembleroit merueilles Et celle  qui moult se prit a escouter ce 	ne uous ne men croyeriez  mie si ie uous en iuroye sur sains.  car il uous sembleroit a ce  quil pust a compter ce 	ne ie nen seroie mie creus  ce ie ne le uons Iuroie sor sains.  Car il uos sanbleroit mensonge.  et cele cui il plot a escouter ce 	Ne ge nen seroie mie creuz.  se ge le iuroie sor sainz.  Car il uous sembleroit menchonge.  Et cele a qui il plest molt a escouter ce 	que vous ne men creries mie  se iou vous disoie lez meruelles  quil fist.  Neis se iou le vous iuroie sor sains.  quar ce uous sambleroit mencoigne.  Et cele a qui il plaisoit moult a oir ce 	y ella que hauia gran sauor de oyr lo que ella viera  e tenia antesi  al quelo fiziera 	che gli altri?  —Qual, dama?, diss’egli. 
qu’ele ot veu et meesmement devant celui  qui ce avoit fait dist au signor: «  Biau sire,  toute voies an diroiz vos aucunnes beles jostes devant cest prodome 	quelle auoit ueu et mesmement deuant celui  qui ce auoit fait dit a son seigneur. Sire dictes nous en  sil uous plaist aucune auanture et aucune belle iouste  deuant ce preudomme 	quil a ueu et mesmement deuant celuy  qui lauoit fait dist au seigneur. Beau sire au moins nous direz uous aucune chose  et aucune belle iouste  deuant ce preudomme 	quele auoit ueu.  et mesmement deuant ce lui  qui auoit ce fait.  Si dit a son signor.  Biax Sires  car nus en dites aucun bial  cop deuant cest preudome 	que ele ot. et meesmement deuant celui qui ce auoit fet. Dist au seignor.  Biax sire touteuoies nous en diroiz uous aucuns biaus cox.  deuant ce preudome 	que elle meisme ot ueu de ses iels  Et meesmement deuant celui  qui lot fait. Dist a son seignor Biau sire toutes uoies nous dirois vous aucune de sez beles ioustes deuant cest preudomme 	dixo el  mi buen señor  dezidnos alguna Cosa ante este Cauallero 	I' no voi arei mica detto in un anno 
qui çaienz est herbergiez  si qu’il le sache a dire,	qui ceans est hebergie  si quil le sache dire 	qui est ceans herbrege.  si quil le sache dire 	qui saiens est habregiez si quil le saiche dire 	qui ceainz est hebergiez. si quil le sache dire 	qui chaiens est herbergies  Si quil le sache a dire 	Porque lo sepa el contar en otro lugar Pordios dixo el Cauallero 	
				quant il uendra en som pays. 			
quant il venra en son païs. — Biaux cox, fait li sires, vos am puis je dire plus de M., 	quant il uendra en sen pais.  Beaulx coupz dit le seigneur uous en puis ie dire 	quant il uiendra en son pays.  beaucop fait le sire uous en puis ie bien dire	quant il uanra en son pais.  Biax cops fait li sires uos en sa ie dire plus de mil.	Biax cox fet li sires  : uous em puis ge dire. plus de .m. 	quant il vendra en son pais:  Biaus cops fet li sires vous en puis iou bien dire 	yo le vi dar muy grandes golpes 	
					et beles ioustes autresi plus de mil. 		
car je l’aloie touz jorz sivant  por veoir les merveilles  qu’il faisoit:  si li vi occirre a V. cox V. chevaliers  et V. sergenz si vistement  qu’il fandoit pres que a par mi les chevax et les chevaliers et de moi meesmes vos di je 	car ie en uis plus de mille/ car ie le alloie tousiours suiuant.  Si lui uis occire a cinq coups cinq cheualiers et cinq sergans si nectement  quil fendoit tous les cheuaulx  Et de moy mesmes uous dis ie 	car ie le suiuoye tousiours pour les merueilles  qu il faisoit. si luy uy abatre a u. cops. u. cheualiers si netement  qu il fendoit presque parmy cheualiers et cheuaux et de moy mesmes dy ie	Car ie laloie ades suant  por ueoitr les grans merueilles  que il faissoit.  Si li ui ocirre a .u. cos .u. cheualier et .u. cheuas  Si uestement  qu il fandoit parmi presques les cheualiers et les cheuaus ce  que onques mais hons ne fit. 	Car ge laloie ades siuant pour les merueilles  quil fesoit.  Si li ui occirre a .u.cox .u. cheualiers. et .u. cheuaux.  et si uestement  quil fendoit tres parmi les cheualiers et les cheuaux.  Et de moi meismes. uous di ge 	Car iou laloie tous iours sieuant pour lez merueilles  que il faisoit.  Si li vi ocirre a. v. cops. V. cheualiers  et lor cheuaus si vistement  quil fendoit parmi cheuaus et cheualiers 	porque andaua enpos del  por ver las marauillas que fazia  e digo vos quele vi dar çinco golpes delos quales derribo çinco caualleros  y mato çinco Cauallos sin otros Caualleros  que atraueso porlas espaldas  y mas vos digo 	quanto ch’i' l vidi fare, 
qu’il fandi mon escu en I. moitiez et trancha ma sele  et coupa mon cheval par mi les espaules, et tot a J. sol cop. — Sire, fait la dame, 	qu il fist de men escu deux moitiez  et trencha ma selle  et couppa men cheual parmi les espaulles. Eu nom de dieu dit la dame 	quil fendy mon escu en deux moitie  et trencha ma selle et copa mon cheual par les espaules  et tout a ung seul cop. Sire dist la dame 	DE moi meismes uos di ge  qu il trancha mon escu en .ii. moitiez.  et fendi mon cheual  et ma cele en .ii. moitiez.  En nou dieu fait la dame 	quil fendi mon escu. et ma sele trencha en .ii. monitiez parmi.  et mon cheual trencha parmi les espaulles tout a .i. seul cop.  En non dieu dist la dame.	et moi meisme fendi il men escu en deus moities  et trencha ma sele et mon cheual par lez espaulles.  et tout a vn seul cop. Sire fet la dame 	que ami fendio el escudo  y el arçon dela silla y al mi cauallo porlas espaldas  y aun mas vos digo  que todo esto fue devn golpe señor dixo ella 	e io non sare' io mica creduto 
dont ne cuit je mie 	donc ne cuide ie pas 	donc ne dy ie pas 	dont ne nossisiez uos mie 	dont ne uolsissiez uous mie 	dont ne quit iou mie 	no Cuido 	
que vos receussiez l’autre cop. — Je, dame ? fait li sires.  Qu’est ce 	que uous uoulsissiez actendre lautre coup Moy dame fist il: quest ce 	que uous receussez lautre cop. Ie dame.  quest ce 	qu il retornast par .i. autre cop feru Ie dame 	quil recourast lautre cop. Ie: dame. fet il.  que est ce 	que vous atendissies uolentiers lautre cop. Iou : dame fet li sires  que est ce 	que otro golpe le quisierades attender 	
que vos dites ?  Si m’aïst Diex, je n’atandisse l’autre cop por toute la terre le roi Artu, car aprés s’espee ne me couvenist il ja mire fors la mort,	que uous dictes.  Si maist dieu ie ne lactendisse pas pour toute la terre du roy artus 	que uous dictes  Si maist dieu ie ne leusse pas actendu pour toute la terre du roy artus. Car apres son cop ny failloit point de mire  que la mort.	si maist diex ie nen atandisse .i. autre cop de sa main por la terre le roi artu.  Car apres son cop ne couient il mire fors la mort 	que uous dites.  Si mait diex. ge nen atendisse .i. autre cop de sa main. pour toute la terre le roy artur.  car apres le cop de sespee ne couient il ia mire fors la mort. 	que vous dites.  Si mait diex iou natendisse lautre cop pour toute la terre au roy artus.  Car apres sespee ne conuient il ia mire que la mort. 	ca dios no me aiude  si otro golpe le quisera attender  por quanta tierra ael Rey artur  que ya contra su golpe no podria durar arma 	s’io il giurassi sopra i santi, 
ne il n’a mie au mien esciant home si hardi el monde,	et ny a mon escient au monde  si preudomme 	Ne il ny a a mon auis si hardy homme ou monde	Ne il na houme el monde au mien essiant 	Ne il na mie a mon escient si hardi home el monde. 	Ne il na mie al mien essient homme si hardi el monde 	que ombre traxese ca enel mundo no a maestro 	
s’il avoit hui veu ce 	que sil auoit ueu ce 	que sil auoit ueu ce 	ce il lauoit ueu ausi bien 	se il auoit ueu ce 	sil auoit hui ueu ce 	quelo pudiese guareçer de muerte  saluo dios enel mundo 	
						no a Cauallero 	
qu’il avoit fait, 	quil a enuit fait 	quil a hui fait. 	com ie  ai 	quil a hui fet. 	quil a fait 	que lo viese fazer 	
que jamais l’atandist a cop.» 	que iamais lactendist a coup. 	qui iamais lactendist a cop. 	qui a cop latainsit. 	qui iames latendist a cop. 	qui iamais latendist a cop. 	lo que yo vi  quele osase attender 	
Et la dame s’ancommance a rire. «  Encore vos dirai je greingnors merveilles, fait li sires,  que je li vi abatre a J. retrous de lance IIIl. chevaliers : 	Et la dame commence a rire.  Encores uous diray ie greigneures merueilles dit le sire:  car ie lui uiz abatre a ung retourde lance quatre cheualiers. 	Et la dame  si commence a rire.  Encor uous diray ie plus grans merueilles dist le sire  car ie luy uy abatre a ung troucon de lance quatre cheualiers. 	La dame ce commance tantost a rire.  Encore uos dirai ie fait li sires grignors merueilles. par mon chief ie le̶i ui abatre dun tros de lance .u. cheualiers. 	Et la dame en commence a rire. Encor uous dirai ge fet li sires greignors merueilles. par mon chief ge li ui abatre .ui. cheualiers. dun sol retroux de lance.	Et la dame sen commence a rire.  Et li sires li dist Dame encore vous dirai iou greignors merueilles  quar iou li vi abatre a. j. troncon de lance. iiij. cheualiers  Et	y aun vos dire mayor marauilla del Cauallero  que yo le vi  por buena fee convna pieça  quele quedo dela lança  que derribo çinco Caualleros 	
