micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
que les mailles del haubert li paroient el col. a  Et ele li dist: «  Biaux sire, fait ele, je vos requier  que vos façoiz ce  que l je vos dirai. »  Et il dist  que si fera il bien seurement. —  Or me baisiez, fait ele, une foiz, 	que les mailles du haulbert lui paroissoient sur le col.  Et elle luy dist beau sire ie uous requier/  que uous faciez ce  que ie uous diray.  Si lui respendit  que si feroit il seurement/  or me baisiez seulement une foiz	et uoit quil est biax cheualiers.  et ele li dit. Sire  or me sanblez uos plus biax que deuant.  Si uos pri  que uos faciez ce que ie uos requerrai.  et il li creante.  Or me baissiez fait ele 	Le creantes vous ensi faielle comme loiaus cheualiers Oil fait il.  Et elle le laisse erranment.  puis dist a monsegnor ywain  quil oste son heaume de sa teste.  et il si fait  Et elle le vit bel cheualier et bien fait de uis  si li dist. biau sire Iou vous requier que vous me baisies vne fois 	que les mailles del hauberc li paroient el col.  Et ele li dit. biau sire. Ie uous requier  que uous faciez ce  que ge uous dirai. Cil dit  que si fera il die seurement.  Or me besiez fet ele une foiz. 	que les mailles du haubert luy percoient le coul. Beau sire fait elle ie uous requier  que uous facez ce  que ie uous diray.  et il dit  que si fera il seurement.  Or me baisez fait elle une foiz 	e dixole  señor yo vos Ruego en enmienda del seruiçio  que me hauedes de fazer  que me besedes 	che-lle maglie dello sbergo li parevano nel collo. E ella li disse: Bel sire, vo richieggio  che voi facciate ciò che voi dirò».  E que le dice  che si farà elli,  e dica sicuramente.  Or mi baciate, diss’ella, una fiata, 
si vos clamerai quite. »  Et il la resgarde,  si la vit laide et si froncie  que nule plus, 	et ie uous clameray quitte.  Adenc la regarda  si la uit si laide et si ridee  que plus ne pouoit/ 	et ie uos clamerai quite.  et il la regarde  et il la uoit si laide 	et iou vous clamerai quite.  Et il lae regarde  si lae vit laide et si fronchie  que nulle plus. 	si uous clamerai quites.  Et il la regarde et la uoit. si laide et si fronciee  que nule plus. 	et ie uous clameray quicte  Et il la uit laide et froncee 	y don yban la Cato  y viola muy negra fea y vieja 	si vo chiamerò cheto». Ed e' la riguarda,  ed e' la vide laida e viza  che nulla più, 
si se targe de respondre, 	si se retarda de respondre. 		Si se targe vn poi de respondre 	si se targe de respondre. 	si se tarda de respondre 	e dixo 	si si tarda molto di rispondere, 
car trop est esbahiz de ce  qu’ele li demande.  Et ele li dist encor autre foiz: « Sire chevaliers,  s’il ot onques loiauté en vos,  si vos aquitez vers moi.»  Et il li respondi trop corrouciez: «  Ha, dame, demandez moi autre chose,  car certes  ce ne feroie je mie volentiers. —  Non ? fait ele. Estes vos si loiaux ?  Et dahaiz aient tuit li chevalier  dou monde 	Car trop durement fut esbahy de ce  quelle lui demanda.  Si lui dist encores une aultre fois. Sire cheualier  se il y eut encques en uous loyaulte/  si uous acquittez uers moy.  Alors il respondit tout courrouce.  Ha ha dame demandez moy autre chose.  Car cella ne feroye ie pas uoulentiers  Non fait elle/ estes uous si loyal.  Que malheur ayent tous les cheualiers du mende/ 	quil li tarde de respondre.  et ele li redit autre fois Sire cheualiers ce il  ot onques loiaute en uos aquites uos a moi.  et il li dit. dme demandes moi autre chose.  uoire fait ele estes uos si loiaux.  Dehais aient ore tuit li cheualier del monde 	quar trop est esbahis de ce  que elle li demande.  Et elle li dist encore vne autre fois. Sire cheualiers  sil onques ot loiaute en vous.  si vous aquites vers moi.  Lors respont mesire ywain tout corecies.  ha : dame demandes moi vne autre cose.  quar certes ceste ne feroie iou mie moults uolentiers.  Non fait elle  et estes vous  dont si loiaus: . Et dehe aient tout li cheualier del monde 	Car trop est esbahiz de ce  quele li demande. et ele li redit encore une autre foiz. Sire cheualier.  sil out onques loiaute en uous.  si uous aquitiez uers moi.  Et il respont trop courreciez  Ha: dame demandez moi autre chose.  quar certes ce ne feroie ie mie uolenters.  Non: sire fet ele. estes uous si loiaux. Et dahez aient ore tuit li cheualiers del monde. 	car trop est esbahy de ce  qu elle luy demande.  Et elle luy dist une autre foiz. sire cheualier  s il y eut oncques leaute en uous  si uous acquitez enuers moy.  et il respondy trop corrouce.  Haa dame demandez moy autre chose.  car certes ceste ne feroye ie pas uoulentiers.  non fait elle estes uous si loyal. 	amiga otra cosa me demandad  ca esto non lo faria pormi grado y a dios no me ayude dixo ella  si vos sodes cauallero  e si lo fuesedes non me mentiriades  como me mentides  e si dios vos ayude dezidme 	ché troppo l est isbigottito di ciò  ch’ella li domanda. Ella li ridisse ancora un'altra fiata: Sire cavaliere,  s’elli ebbe unque lealtà in voi,  si voi achetate inverso mes.  E' le risponde troppo duramente crucciato:  «Hal, dama, disse elli, domandateme altra cosa,  ché certo ciò non farei io mica volentieri. — VNon?, diss’ella. Siete voi dunque leale?  Che Dio odii ora tutti i cavalieri del mondo per l’amor di voi, 
por amor de vos et vos,  quant vos fustes onques chevaliers.	pour lamour de uous et quant fustes oncques cheualier/ 	por amor de uus.  et uos quant uos fustes onques cheualiers. 	pour lamour de vous. Et vous  quant vous fustes onques cheualiers. 	por amour de uous.  Et uous quant uus fustes onques cheualier. 	et maudiz soyent tous les cheualiers du monde pour amour de uous et uous quant feustes uous oncquez cheualier. 	como hauedes nombre yo e nombre dixo el don yban hijo del Rey vrian 	e voi  quando vo foste cavaliere. 
Et certes je ne cuit mie  que vos le soiez, 	mais quoy/ ie ne cuide pas  que uous le soyez. 	Mais ie ne cuit mie  que uos le soiez.	Et certes iou ne quit mie  que vous le soies. 	mes certes Ge ne cuit pas  que uous le soiez 	et certes ie ne cude pas  que uous le soyez. 	y dixo la vieja 	Ma certo i' non credo mica  che vo' siate,
einz estes aucun ribaut lerres, espié de gent  qui alez en guise de chevalier por estre desconneuz.  Et certes se vos fussiez chevaliers, vos ne mentissiez mie vostre foi  por la vie perdre. »  Lors li demande son non  et il dist  qu’il a non Yvain, le fil au roi Urien. —  Certes, fait ele, vos i mantez !  Onques ne fustes celui Yvain  qui fu filz au roi Urien, 	Ains estes quel que larron espieur de gens  qui allez en guise de cheualier/  pour estre descengneu.  Car par mon chief se uous fussiez cheualier  uous ne eussiez point menty uostre foy  pour y perdre la uie.  Lors lui demanda  comment il auoit nom/  et il dist yuain le filz au roy urien:  certes fist elle uous y mentez oncques ne fustes cellui pyuain  qui fut filz au roy urien	Ains estes aucuns ribaus an sanblance de cheualier.  Car ce uos fussiez cheualiers uos ne fausissiez pas uostre creant  por ure perdre.  OR me dites  comment uos auez no.  et il li dit  quil a non .y.  Certes fait ele uos mentes. onques ne fustes ciz .y.  qui est cousins .G. 	Ains estes vne ribaus espierres de gent qui estes en guise de cheualier  pour estre desconnus.  Et certes se vous fuissies cheualiers. vous ne me mentissies mie vostre foy. pour la vie perdre.  Et lors li demande la uielle son non.  Et il li dist  quil a a non Ywains.  et est fils au roy vrien.  Certes fait elle vous mentes onques ne le fustes :  quar mesires ywain 	ainz estes aucun Ribaut lerres espie de gent.  qui alez en guise de cheualier.  pour estre desconneuz. et certes  se uous fussiez cheualier. uous ue mentissiez pas uostre foi.  por la uie perdre.  Lors li demande son non.  Et il li dit quil a non yuain.  filz le Roy urien.  Certes fet ele uous y mentez.  onques ne fustes celui .y.  qui fu filz li rois urien. 	ains estes aucun ribault lerres espieur de gens  qui alez en guise de cheualier  pour estre descongneu.  Car certes  si uous estiez cheualier uous ne mantiriez pas uostre foy  Lors luy demande son nom.  et il dit  quil a nom yuain  et quil fu filz au roy urien.  Certes dist elle uous mentez oncquez ne feustes celuy yuain  qui fut filz au roy urien. 	yo me yre a querellar devos ala corte del Rey artur  del tuerto y deslealtad que me fezistes  y luego fizo semblante  que yba alla  y boluio la Rienda al Roçin 	anzi siete alcun rubaldo, traditore, spia di genti  ch’andate in guisa di cavaliere per essere disconosciuto.  PCerto,  si vo' foste cavaliere, vo' non mentisti mica di vostra fé per la vita perdere».  Allora li domanda su nome  ed e' le dice  ch’egli à nome Yvano  e fu figliuolo del re Orien.  Certo, diss’ella, vo' mentite: unque non foste figliuolo del re Orien, 
car cil ne fu onques ne menterres ne boisierres,  mais vos n’estes mie ce. » 	qui est cousin menseigneur gauuain 	Car il nest mie menteres.  mais uos li etes.	ne fu onques menterres ne boiserres  si comme vous estes.	Car cil ne fu onques ne menterres ne boiserres. mes uous nestes mie ce. 		e quando yban esto vio llamola 	ch’elli non fu unque né mentitore né bugiardo;  ma voi non siete mica ciòs. 
Et il dist 	si maist dieu fist il 	et il dit 	Et il dist vraiement 	Et il dit 	Et il dit 	e dixola 	Ed e le dice 
qu’il fu filz roiIlrien et cousins mon signor Gauvain. — Voire, fait. ele,  dont m’an vois je a la cort le roi Artu,  si me clamerai de vos  et conterai au roi toute vostre loiauté. » 	si suis en nom dieu fist elle donc men uaiz ie a la court du roy,  si me clameray de uous  et compteray au roy uostre desloyaulte. 	quil en. fiz le roi urien et cousins monsignor .G.  uoire fait ele  dont irai ge a la cort le roi artu  et me clamerai de uos: 	quil est fils au roy vrien  et cousins monseignor Gauuain  Si mait diex fait elle  dont men irai iou a la cort le roy artus  si me clamerai de vous  et conterai al roy vostre deslloiaute. 	quil fu filz li rois urien. et cousis monseignor .G.  uoire fet ele et si mait diex  dont men uoiz ge a la court le roy artuz.  si me clamerai de uous  et conterai toute uostre desloiaute. 	quil est filz au roy urien et cousin de messire gauuain.  uoire fait elle mauuaiz cheualier si maist dieu ie iray a la court du roy artus et me plaindray de uous  et compteray au roy toute uostre loyaute. 	tornad aca  y vesarosme antes que alla vades 	che fu figliuolo del re Orien e cugino di monsignor Galvano.  aVer è, diss’ella,  se m’aiuti Idio,  dunque me ne vò io alla corte del re Artù,  si mi richiamerò di voi  e conterò al re tutta vostra dislealtà». 
Lors s’an torne  et fait samblant 	Lors se retourna/  et fist semblant 	Lors fait sanblant daler a court.	Lors sen torne  et fait samblant 	Lors sen torne  et fet semblant 	Lors sen tourne  et fait semblant 	y ella torno luego 	Allor si torna  e fa sembiante 
qu’ele ! voille aler a cort,  et mes sire Vvain en est trop dolanz,  si panse	que aller sen uouloit a la court du roy artus  dont monseigneur yuain en fut fort dolent Lors se pensa il 	et messires .y. pance 	quele sen voelle aler a cort.  Et mesire. ywain en est trop dolans.  Si pense 	que ele uoille aler a court.  Et misire .y. en est trop dolenz.  si pense 	qu elle uueille aler a court. et messire yuain en est trop doulent  si se pense 	y el hizo semblante 	ch’ella voglia ritornare a corte;  e monsignor Yvano n’è troppo dolente,  si si pensa 
que mielz li vient il baisier  que faire vers lui desloiauté 	que mieulx lui ualoit la baiser  que faire desloyaulte 	que miex li uient il baisier. 	que miex li vaut il a baisier  que a faire desloiaute.	que mielz li uient besier  que fere uerz li desloiaute. 	que mieulx uault qu il la baise  que faire desloyaute enuers lie 	quela queria besar 	che meglio li vale elli a basciarla  che fare inverso lei dislealtà 
dont il soit renomez a;  si l’apele  et ele retorne  et fait samblant qu’ele soit molt liee,  si se trest pres de lui.  Mais an ce  qu’il la voloit baisier, ele s’areste  et li dist : « Biaux sire, arestez vos I. poi. »  Et il si fait molt volentiers. «  Or vos dirai, fait ele, une autre chose 	dont il fust mal renomme.  Si la rappella  puis fist semblant que moult en estoit ioyeulx:  si se aprocha uers elle  pour la baiser.  Beau sire fist elle attendez ung bien peu/  et ce fist il moult uolentiers  Or uous diray ie fist elle une autre chose	Si lapelle. et ele retorne.  et fait sanblant  quele en soit lie  et qnent il la uot baisier  si li dit. Sire atandes uus. Ie uos dirai une autre chose 	dont il soit mal renommes.  Si le rapele  et elle retorne et fait samblant  que elle en soit moult lie.  Si se traist pres de lui.  et en ce  quil le leol. c volt baisier. elle sareste  et li dist biau sire atendes vn poi  et il si fait moult volentiers :  Or vous dirai fait elle vne autre chose	dont il soit mal renommez.  si la rapele  et ele retorne.  et fet sembblant  que ele soit mout liee.  si se trait pres de lui.  mes en ce que il la uoloit besier. ele sareste  et li dit.  Biax sire atendez uous .i. poi.  et il si fet molt uolenters.  Or uous dirai fet ele une autre chose.	dont il seroit renomme.  si la rapelle.  et elle reuient  et fait semblant  qu elle soit molt liee  si se trait pres de luy.  Mais ainsi quil la ueult baiser elle sarreste  et luy dist. Beau sire actendez ung pou  et elle le fait moult uoulentiers. Ie uous diray fait elle une autre chose 	y ella le dixo  esperad vn poco  que yo quiero  que al fagades pormi  que aesto me paresçe que no habedes gran sauor 	donde sia mal rinomato.  Si la richiama,  e ella ritorna  e'ffa sembianti d’essere molta lieta:  si si trae presso di lui,  ma in ciò  che-lla volea baciare, ella s’aresta  e li disse: aBel sire, atendete voi un pocor,  ed e'si fa molto volentieri.  Or vo dirò io, diss'ella, un'altra cosa 
que vos feroiz pour moi,  car je voi bien  que del baisier n’avez vos mie trop grant talant.  Mais veez vos cels pavillons la ? »	que uous ferez pour moy/  car ie uoy bien  que du baisier ne auez uous nul tallent/  mais ueez uous fist elle ces pauillons	que uos faciez.  por moi. ueez uos ces pauillons la. 	que vous feres pour moi  quar iou uoi bien  que del baisier naues vous talent  mais uees vous fait elle ces pauellons la. 	que uous direz por moi.  Car ge uoi bien  que del besier nauez uous mie grant talent.  mes ueez uous ces paueillons la. 	que uous firez peur moy. Ie scay bien  que du baiser nauez uous pas grant talent.  Mais uoyez uous fait elle ces paueillons 	Como don yban tomo el esCudo y el yelmo  que guardauan las donzellas 	che voi farete per me,  ch’i' vego bene che di me basciare non avete voi grande talento.  Ma vedete vo que' padiglioni là?». 
Si li monstre III. pavillons tanduz en une lande 	qui sont tendus en celle lande/ 		Si li moustre. ij. paueillons tendus en vne lande. 	Si li moustre .ui. paueillons tenduz en une lande. 	qui sont la tenduz en celle lande. 	Entonzes le mostro seis tiendas 	Si gli mostra iii. padiglioni tenduti in un piano 
et il dist qu’il les voit bien. « 	et il lui dist  quil les ueoit bien 	et il dit oil. 	Et il dist  que il lez voit bien 	Et il dit  que il les uoit bien. 	et il dit quil les uoit bien. 	y dixo 	ed e' le dice  che li vede bene. 
