	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
127	que vos me demandastes n’a encor gaires. — 	que uos me demandates na gaires. 	que vous me denmandastes. |ore le me dites 	que uous me demandastes. 	que uous mauez demande. 	que me preguntastes seguramente |Pues deçidmelo dixo boores 	che voi mi domandaste. 
128	Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	Dites dont damoisele fait il. |SIre fait ele par foi entre moi et .i. cheualier 	dont fait bohors. |Par foy sire fait elle entre moi et. i. cheualier 	dictes fait il. |par foy fait elle moy et ung cheualier 	Par ma foy fait elle moy et ung cheualier 	asi es dixo la donçella que oy mañana entre mi |e vn cauallero 	— Dite, diss’elli. |— laPer fé, diss’ella, intra me e uno cavaliere 
129	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mes amis estoit. cheuauchiens hui matin parmi cest chastelet illuec. 	qui mes amis estoit cheualchiemes parmi chest chastel. 	qui mon amy estoit cheuauchons a matin parmy ce chastelet ilecquez 	qui mon amy estoit cheuauchions parmi cest chasteau. 	que hera mi amigo pasamos poreste castillo 	che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 
130	et quant li freres a celui 	et quant li freres a celui 	Et quant li freres a celui 	Et quant le frere a celuy 	Et quant le frere de celui 	e quando el señor del castillo hermano de aquel 	e quando il fratello di colui 
131|132	que vos avés abatu me vit, |si me volt a force prendre, 	que uos aues ore abatu: me uit. |Si me uot a force prandre.	qui vous aues abatu me uit. |si me volt auoir |et prendre par force 	quie uous auez ores abatu me uit. |si me uoult prendre a force 	que uous auez abatu me uist |si me uoulut auoir et prendre a force: 	que vos derribastes me vido quisome prender afuerça 	che voi avete ora abatuto mi vide, |si mi volle a forza prendere, 
133|134	kar il m’avoit molt longuement amee; |si me prist al frain 	Car il mauoit mout longuement amee. |Si me prist |et me uost mener a force 	quar il mauoit lonc tamps amee. |Si me prist au frain 	car il mauoit longuement amee |si me prist au fraing 	car il me auoit longuement aymee. Il print mon cheual 	e trabo del freno demi palafren 	ché m’avea lungamente amato; |simmi prese al freno 
135	et m’en volt mener a force, mes mes amis se combati a lui 	si tost comme il me tint au fraing. |Mais mes amis se combati a lui 	et men volt mener a force. |Mais mes anis se combati a lui tant	et me uoult mener a force |mais mon amy se combaty a luy 	et men uoulut mener a force: |mais mon amy se combatist a lui 	e quisome llebar |e me vido mi amigo llebar 	e mi volle menare a forza, |ma mio amico si combatté tanto a-llui 
136|137	tant |qu’il l’ocist. 	tant |que il locit. 	quil locist. 	si loccist. 	tant qu il loccist. 	conbatiose conel tanto 	che-ll’ucise. 
138|139	Et|quant cist 	et quant ciz 	Et quant chils cheualiers 	Et quant celuy 	Et quant celui |que uous uoiez 	quelo mato 	ME quando questo 
140|141|142	que vos veez ci ore vit son frere mort, |si fist mon ami prendre a force de vilains et de gens |et l’ocist en venjance de son frere. 	que uos ueez ore ci uit son frere mort : |si fist mon ami prandre a force de uilains et de gent. |Et locit en la uangence de son frere. 	que vous uees chi vit son frere mort. |si fist mon ami prendre par force de vilains. et locist por uengance de son frere 	que uous auez ores|cy abatu uit son frere mort |si fist prendre mon amy a force de uilanis et de gens. |si loccist on uengence de son|frere.Mais il dist 	cy uist son frere mort il fist mon amy prendre par force de gens et de uillains/ |et loccist en uengance de son frere 	e quando aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente e de villanos |e matolo en enmienda dela muerte desu hermano 	che voi avete qui ora abatuto vide suo fratello morto, |si fece mio amico prendere a forza di villani e di genti, |e l’uccise in vendicanza di suo fratello.
143|144|145	Mais de moi, |por cui Ses freres avoit esté ocis, dist il |qu’il se vengeroit sans main metre;	mais de moi |p̾ |cui ses freres auoit este ocis dist il |quil sen uangeroit sans main mestre. 	quil auoit ochis. |Et dist |quil se vengeroit de moi |sans main metre. 	quil se uangeroit de moy |pour qui son frere auoit este occis sans main mectre 	et dist |quil se uengeroit de moy sans main mettre.	e dixo |que demi se vengaria el seguramente porque fui ocasion dela muerte de su hermano entonçe 	Ma di me, |per cui suo fratello avea stato morto, diss’elli |che-ssi vendicherebbe sanza in me mettere mano, 
146	si me fist prendre a ces ribaus 	Si me fist prandre a ses .iiii. uilains 	et me fist tantost prendre a ches. iiij. ribaus 	si me fist prendre a ces quatre ribaux 	Si me fist prendre par ces quatre ribaulx 	fiço tomar aquellos quatro villanos 	si mi fece prendere a nfino a tre l rubaldi 
147	que vos veistes 	que uos ueistes	que vous ueistes ore. 	qui uous ueistes 	que uous auez ueu	que vos vistes 	che vo' vedeste 
148	et lor commanda 	si lor coumanda 	et lor commanda 	et leur commanda 	et leur commanda 	e mandoles 	e loro comandò 
149	qu’il me noiaissent, « 	quil me noiassent. 	quil me noiassent. 	quilz me noyassent. 	quilz me noyassent/ 	que me matasen en aquel agua 	
150|151	kar par armes, dist il, |ne vueil je mie 	Car par hommes ne uoeil ge gaie fait il quele morit. 	Car par armes dist il ne voeil iou mie 	Car par armes fist il ne uueil ie pas 	car par armes ne uueil ie pas 	ca por armas no me queria matar 	che m’anegassono, ché per mano di persona, diss’elli, non voglio 
152|153|154	qu’ele muire » ; |si m'enmenoient, |si com vos veistes, morir 	Si [cum] amenerent ainsi |com uos ueistes [raqrir] 	que elle muire. |Si me menoient ensi |com vous ueistes por noier 	quelle meure. |si me menoient pour mourir ainsi |comme uous ueistes 	que elle meure. |Si me emmenoient ainsi |comment uous auez ueu pour noyer 	e ellos me mataran sin falta 	ch’ella muoia». i-mmi menavano, |insi come vo vedeste, |per fare morire, 
155|156|157|158|159	quant vos me venistes secorre par la volenté de Dieu et par la vostre. |Or vos ai conté mon errement ; |si voldroie des Ore mes, |se vostre plaisirs estoit, |que vos me menissois a salveté en un mien chastel 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. Sire fait la damoisele a beħ. |Or uous ai conte mon errement. |Si uorroie desormais se uostres [puisses] estoit : |que uos me menissiez a sauuete en .i. mien chastel 	quant vous me uenistes rescorre par la volente de dieu et la vostre. vous ai conte mon errement |si volroie |se vostre volentes y estoit|que vous me metissies a sauuete. En vn mien castel 	quant uous me uenistes secourir. par la uoulente de dieu et par la uostre Or uous ay tout comte mon criement. |si uoudroye desormais |si uostre plaisir estoit|que uous me menez a sauuete en ung mien chastel 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre. |Or uous ay toute compte ma fortune/ |si uouldroie |se uostre uoulente y estoit |que uous me menissez a sauuete en ung mien chasteau 	si vos porla voluntad de dios |e porla vuestra no me acorrierades agora vos |e contado todo mi acaesçimiento |como me contesçio e querria que me llebasedes a vn mi castillo 	quando vo mi veniste a soccorrere per la volontà di Dio e della vostra. |Or vo ho contato tutta mia ventura, |si vo vorre' da oggimai, |se vostro piacere fosse, pregare |che vo' mi conduceste a salvamento in uno mio castello 
160	qui est ci pres. — Volentiers », fet il. 	qui est ci pres. uolentiers damoisele Sire a 	qui est pres de chi. volentiers fait il 	qui est cy pres. uoulentiers fait il 	qui est cy pres. |Voulentiers dit il. 	que es çerca de aqui 	ch’è qui presso. |— Volentier. disse elli». 
161|162	Si le prent par les bras |et le monte par devant lui sor le col de son cheval, 	si la prent par le bras |et la mest deuant lui sur le col de son cheual. 	et il le prent maintenant par les bras |et le met sor le col de son cheual.	si la prent par les braz et la monte deuant soy sur le col de son cheual. 	et il la prent par le bras |et puis la met sur le col de son cheual/ 	si vos plaze |de GraDo dixo boores |e luego echo su escudo alas espaldas 	Si-lla prende per lo braccio |e la monta davanti a sé sopra il corpo di suo cavallo, 
163	si a geté son escu derieres son dos, 	Si ageste erranmet son escu derier son dos. 	et met son escu derriere son dos. 	si a gecte son escu derriere son dos. 	si a iecte son escu derrier son dos:	e tomola Porel braço |e pusola antesi Ensu caballo 	si getta suo scudo di dietro suo dosso, 
164	si s’en vet cele part 	Si sen ua cele part 	si sen torne cele part	et sen uait celle part 	et puis tourne celle part la 	e fuese ansi conella 	si se ne va in quelle parti 
165|166	ou la damoisele li enseigne tant |que ce vint aprés midi 	ou la damoisele li ensangne. |Si cheuaucherent ainsi |tant que ce uint apres midi.	ou la damoisele lenseigne |Tant que chou vint apres miedi 	ou la damoisele luy enseigne. |tant que ce uient apres medoy 	ou la damoiselle lui enseigne tant|que uint aprez midy 	por do ella lo yria guiando fasta medio dia 	ove la damigella gli 'nsegna, |tanto che ciò venne apresso di mezodi 
167	qu’il voient en un tertre I. bel a chastel, 	et lors uirent deuant aux en lor chemin .i. |tertre.Ou il auoit .i. tres bel chastel. 	que il virent deuant euls vn moult bel castel. 	quilz uoyent deuant eulx en ung tertre ung meoult bel chastel 	que ilz uirent deuant eulx ung moult beau chasteau: 	Que vieron vn muy fermoso castillo 	che vegono davanti loro, in uno poggio, uno castello molto bello. 
168|169	et lors ataignent Il. escuiers|qui issoient d’un bossel 	et lors ataignent .ii. escuiers |qui issoient dun boschet. 	Et lors ataingnent. ij. escuiers a lentree dun boskel 	et lors actaignent deux escuiers |qui yssoient dung boys 	et lors attaignent deux escuiers a lentree de ung petit boix	e alcançaron dos escuderos ala salida devn monteçillo 	Allora agiungono due scudieri |che uscivano d’uno boschello 
170	et aportoit chescuns venoisons trosee detriers soi.	et aportoit chascuns uenison trossee douant soi. 	et portoit cascuns venison torsee derriere lui. 	et chascun aportoit uenoison troussee derriere soy. 	et portoit chacun uenoisen derrier lui troussee. 	que traia cada vno vn corço atroxado trassi 	e aportavano amenduni cacciagione torsata di dietro a llui. 
171|172|173	Quant il virent la damoisele, |si descendent a pié |et li font grant joie com a celi 	et quant il uirent la damoisele |qui beh̾ auoit deuant luy |si sont dessendu a pie|et li font la plus grant ioie dou monde a cele 	Et|quant il voient la damfolisele |si descendent a pie |et li font si grant ioie comme a celui 	Et quant ilz uirent la damoisele |si descendirent a pie et luy font moult grant ioye comme a celle 	Et quant ilz uirent la damoiselle ilz descendirent a pie |et lui firent si grant henneur et si grant ioye comme a celle 	e desque vieron la donçella desçendieron apie |e fueron e fezieron gran alegria conella 	E|quand’e' vidono la damigella, |si discenderono immantanente a ppiè |e gli fanno grande gioia |come a colei 
174|175	qui lor dame estoit |mais molt se merveillent de ce 	qui leur lige dame estoit |Mais mout se merueillent 	qui lor dame estoit. |mais moult sesmerueillent de ce 	qui leur dame estoit.|mais moult se merueillent de ce 	qui leur dame estoit: |mais moult se merueillent de ce 	como aquella que hera su señora mas mucho se marauillaron 	che loro dama era, |ma molto si maravigliarono di ciò 
176	qu’il la virent plorer: 	quant il la uirent si plorer. et plus de son ami 	quil la voient plorer. 	quilz la uirent plourer. 	qu ilz la uoient plourer: 	porque la vian ansi venir 	che lla vidono impiagnendo. 
177	si li enquierent 	que il ne uerent pas mandent 	si li demandent 	si luy enquierent 	si demandent 	e preguntaronla 	Si-lla inchiesono 
178	que ele a. 	que ele a. 	que elle a. 	quelle a. 	que elle a. 	que auia 	ch’ell’avea, 
179	Et ele lor dit 	et ele lor dit 	Et elle lor conte 	et elle leur comte 	et elle leur compte 	e ella les conto 	ed ella lor disse 
180|181|182	comment ses amis avoit esté ocis, «|et je meismes euisse esté morte. |se ne fust cis frans chevaliers	et conte coment ueuir auecques li. |Si li en quierent et de ses amis auoit este ocis. au chastel |ou il trespasoient. Sire meismes fait ele eusse este morte : |Ce ne fust ciz frans cheualiers ci. 	comment sez amis auoit este ochis. et iou meisme eusse este ochise. |se ne fust cils frans cheualiers 	comme son amy auoit este occis. |Et ie mesmes fait elle feusse morte |se ne fust ce franc cheualier 	comment son amy auoit este occy/|et moy mesmes eusse este occie |se ne feust ce franc cheualier	como su amigo hera muerto |e dixo |yo mesma fuera muerta sino fuera por aqueste buen cauallero 	come suo amico era stato ucciso, |«ed io medesima, diss’ella, fosse stata morta, |se non fosse questo franco cavaliere 
183	qui par sa debonaireté me resqueust 	qui par sa debonairete 	qui par Sa debonairete ma rescousse. 	qui par sa debonairete ma rescousse. 	qui par sa debonnairete ma rescousse 	que me libro 	che per sua dibonarità mi riscosse, 
184	et se mist em peril de mort por ma vie sauver. » 	et par sa franchisse marescosse des mains a mes anemis et se mist en peril de mort |por moi sauuer. 	et se mist en peril de mort pour moi sauuer. 	et sest mise on peril de mort |pour sauuer ma uie. 	et sest mis en peril de mort |pour moy sauuer. 	e se metio en peligro de muerte |Por me librar 	si si misse in periglio di morte per mia vita salvare». 
		et se ne lauoie ie pas deserui. 					
		et diex doint 					
		que ie li puisse guerredoner.					
185	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	Lors conseille maintenant la damoisele a .i. des escuiers. |et il destrore maintenant sa uenisson 	Et lors conseilla elle a. j. de ses escuiers|Et cil destorse tout maintenant sa venison 	Et lors conseille a lun 	Et lors elle parle a conseil a ung des escuiers |et celui se destrousse maintenant de sa uenoison 	e luego destroçaron el vn corço |e pusieronlo enel Palafren 	Allor si consiglia con l’uno, |e quelli iscioglie immantanente sua cacciagione 
