a	b	c	d	e
173	Sire fet ele il a non Galedon	Sire fait elle il a a non Galdon:	Do su amigo auian muerto señor dixo ella el a nombre Galdon	disse ella|egli à nome Badelon	Gire fait elle il a nõ gal don
174	et l eve par ou vos passastes a non Galede	Et laigue ou vous passastes a a non Galide|?	e el agua|que pasastes galide	e l acqua per dove passaste Galede	⁊ leaue ou uous passastes a nom ga lide
175	Ensi parolent tant qu il sont venu jusqu al chastel	Ensi sen vont parlant tant quil sont venu pres del chastel	Asi fueron fablando fasta el castillo	aln parlando vanno|tanto che sono venuti insino qua al castello	Ainsi sen uont parlant ensemble boo:t|⁊ la damoisel le
176|177	si le voit Boors bien seant|et fort	si le voient moult bel|et moult fort	Que hera muy fuerte|e muy bien asentado	si 'l vide Boordo molto forte	tant que ilz sont uenus prez du chasteausi le uoient beau|et fort
					et moultbien seant
		et moult bien seant			
178|179	Et quant il montent ! le tertre|si voient de laiens issir dames	Et quant il furent monte le tertre|si voient issir dames	e desque fueron entrados enel castillo luego vinieron contraellos muchas danças	e molto ben sedente||si ne vidono uscire dame	Et quant ilz sont montez le tertre|si ui cẽt dames
180|181|182	et damoiseles a grant plenté|dont les unes karolent|et les autres dancent	& damoiseles a grant plente|dont lez vnes dansoient	e corros de Dueñas|e de donçellas|e otros dançaban	e damigelle a gran quantità|donde l une ballavano	et damoiselles a grant plante dõt les unes dansoient|et les autres deuisoient
			e bailauan		
183	et les autres joent de divers geus;	et lez autres karoloient|& baloient	e otros jugauan|e façian juegos de muchas maneras	e l altre giucavano di diversi giuochi	et les autres iouoient de diuers ieux
		et gieuent de diuers ius			
184|185	si estoient acesmees|et vestues richement	Si estoient toutes vestues trop richement	e todos andauan vestidos muy Ricamente entonçe vinieron contraellos	si erano tutte acconce|e vestite riccamente	si estoient toutes uestues moult richement
186|187|188	et avec venoient chevaliers jusqu a X|qui molt faisoient grant joie;|et quant il voient Boort	Et auec elles venoient cheualier iussPtis elques a|X|qui menoient la plus grant ioie|et dient a bohort	mas de diez caualleros faziendo muy gran [|]	; Se con esso loro venieno cavalieri insino a cinque|che molto feciono gran gioia quand'e' vidono Boordo	⁊ auec elles uenoient des cheualiers iusques a dix|qui fai soient moult grant ioye|Et quant ilz uirent boort
				vengono tutti incontro a llui	
189	si crient tuit encontre lui Bien viengniés sire	Sire bien veignies vous soi tous lez hommes del monde	e deçian todos avna voz vien venga el mejor cauallero	e gli dicono|: Ben vegniate	si lui crietent tous|Sien uiengniez uoꝰ
190	qui nostre dame avez delivres de mort	qui nostre dame aues rescousse de mort	que anuestra señora libro de muerte	sire|che nostra dama avete dilivera di morte	qui nostre dame auez rescousse de mort
191|192	et rescosse des mains a ses enemis|Et lors font descendre lor dame	et deliuree des mains a sez anemis|Et lors font descendre la damoisele	e libro anos denuestros enemigos entonçe los desçendieron a muy gran gozo	e riscossa delle mani di suoi animicib|VAllora fanno discendere lor dama	et deli uree des mains de ses ennemis|Etlois font descendre leur dame
193|194|195|196|197|198	et lui avec :|si ne vos porroit nus conter la joie|qui li fu fete||et a tel feste enmainent Boort jusqu al palés del chastel|si le font desarmer ou il volsist ou non	et lui auekes|si ne porroit nus conter la grant ioie|qui li fu faite EN tele ioie|& en tele feste com vous oliles enmenerent bohort en vne moult bele sale	e alegria façiendo con boores|asi que el se marauillaua ende mucho|e las Mesas fueron puestas	e lui apresso|si non potrebbe mica l uom contare la trasgran gioia|che gli fu fatta|In tal gioia|e in tale festa ne menarono Boordo insin qua il mastro palagio del castello|si l fanno disarmare o volesse O non	et lui auec|Ei ne pour|roit nul hõme cõpier la grant iope qͥ leur fut faicte|A telle iope menerent uooit au pallais
199|200	et il le fist a envis|kar il n estoit encore mie tens de herbergier	et les tables furent mises	e asentaronse a comer|ca mucho lo auian menester	ed elli il fece ad invidia|ché nonn era mica ancor tempo d albergare	Et quant ilz eurent mẽgie la damoiselle lui demanda commẽt il auoit nom
201|202|203|204	Ensi remist Boors laiens|si li firent grant joie li un|et li autre|Et quant il orent mengié	si alerent mangier|Et quant il orent mangie	e desque ovieron comido la donçella le pregunto|e dixo le señor|si vos pluguiere querria saber vuestro nombre	|si gli feciono molto gran gioia|e l uno|e l altro|eE quand egli ebono mangiato a gran festa	Et il respõ dist quil auoit nom uooit le essillie|et si estoit cousin germain de lancel ot du lac
205	a damoisele demande a Boort comment il avoit non ét ¡l dist qu il avoit non Boors li Essilliés	La damoisele demanda bohort comment il auoit non|Et il li dist quil auoit non bohors li escillies	porque sepa dezir quien me fiço tanto bien donçella dixo boores yo he nombre boores el deseredado	la damigella domandò Boordo com'egli avea nome	
206|207|208	Et vos fet il|damoisele quels est li vostre nons|? — Sire fet ele	Et vous dame fait il comment est vostres nons|Sire fait elle iou ai a non benigne	e vos donzella dixo el|como auedes nombre señor dixo la donçella yo he nombre velniña de glaçendo	ed e' le risponde|diss elli alla damigella|com è vostro nome|? — Sire|diss ella	Et uous dame|quel est uostre nom|Sire fait elle iap nom benigne de glacedon
				ch egli à nome Boordo il Diseritato	
					
209|210	je ai non Blevine de Glocedun issi a non cist chastials ou nos somes|A ces paroles qu il disoient es vos I escuier	? de Glochedon|Et ensi a a non chis chastiaus|A ches paroles quil disoient es vous vn escuier	que asi a nombre el castillo enque estamos Ellos	i' ò nome Blivina di Glocedin|e nsì à nome questo castello ove noi siamo|A queste parole|ch elli dicieno	et ce chasteau cy ou nous sommes a aussi nom glacedon|diiiii|ces parolles quilz disoient uecy ung es cuper
				ed e' vidono venire uno scudieri	
211	qui laiens entre	qui laiens entra	ansi fablando llego vn escudero porla puerta	che là entro venia	qui entra leans
212|213|214	si s agenoille devant la damoisele|Dame fet il la damoisele de Honguefort vostre cosine vos salue|et vos mande qu ele vient herbergier o vos	si sagenoille deuant la damoisele|& l dist|Dame : la dame de hongrefort vous salue|& vous mande|que elle veult anuit herbergier o vous	e finco los ynojos ante la donçella|e dixole señora la donçella de hongeforte vos ymbia a saludar	si s aginocchia davanti la damigella|mia dama la damigella di Unguelforte|vostra cugina|vo saluta|e vo manda|ch ella viene ad albergare con esso voi	si se agenoille de uant ra damoiselle dame faitil madame de honguesfoit uous sallue
				Dama	
				diss elli	
215	Et quant cele l entent	Et quant cele lentent		E quando quella lo ntende	
216	si saut sus	si saut sus	e ymbiavos deçir	si salta suso	
		si ioieuse			
217	si liee	& si lie	que esta noche ven conbusco albergar	si lieta	
218|219|220	et si joiose|que nule plus|et demande al vaslet ou ele est	que nulle plus|Si demande a lescuier ou elle est	e quando la donçella esto oyo fue muy alegre|e pregunto al escudero	e si gioliolsa|che nulla più|e domanda al valletto ov'ella est	et uous mande|que else se ueult ennuyt sogier auec uoꝰ
221|222	Dame|fet il a mains de demie lieue pres de ci	Dame ce dist cil a demie lieue pres de chi	do era señora dixo el escudero yo la dexe a media legua de aqui	Dama|diss elli|ella est a meza lega presso di qui	
223	Et ele fet maintenant sa sele metre	Iors fait maintenant sa sele mettre		Ed ella fa immantanente sua sella mettere	Et quãt celle lost
224|225|226|227|228|229|230|231|232	et dist qu ele ira encontre li;|si monte|et maine o li|VI|chevaliers|et Illl|en laisse|por fere compaignie a Boort ;|si se part atant de laiens	& dist|que elle yra encontre li|Si Lmonte maintenant|& vi|cheualier aueques li|&|iiij|escuiers|Et si laisse auec bohort|iiij|cheualiers|por lui faire compaignie|& puis sen ist de laiens	e la donçella mando luego ensillar|e fuese con seis caualleros ala rreçebir|e dexo a boores con quatro caualleros porle fazer conpaña	e disse|ch ella andrà incontro a llei|si monta|e mena con lei v|cavalieri|e quatro cavalieri d agio lascia in compagnia di Boordo|si si parte atanto di là entro	si demande a lescuper ou elle est da me fait il a demyelieue de cy|et elle mõte sur son cheual auec quatre theualiers|et quatre es cuyers pour qller a lencontre de la dame|⁊ si laisse quatre cheualiers auec boort pour luy faire cõpagnie mes booit
233	Mes Boors	Et bohors		Ma Boordo	
234|235	qui les noveles a of̈es de cele de Honguefort|si ne set	qui lez noueles ot entendues de la dame de hongrefort ne set	e quando boores sopo quela donçella de ongeforte venia no sabia	che lle novelle àe avute di quella d Unguelforte|non sa	qui les nouuelles a entendues de la dae de honguesfort ne scait
236	que fere	que faire	que façer	che fare	que faire
237|238|239|240	kar se il remaint laiens ne puet estre|que l en nel conoisse|et ce ne voldroit il|por rien:	quar bien set|que elle le connistra|Et chou ne voldroit il pas	ca no queria aquelo conoçiese|si pudiese ser	ché se rimane là entro e' non può essere|ch ella non lo cognosca|: ciò non vorebbe elli per nulla cosa	si pense longuement|car il ne ueult pas estre congneu
241|242	si pense longuement a ceste chose|Quant il ot une piece pensé	si pense a cheste chose moult longement|Et quant il ot pense	e penso	si pensa lungamente a questa cosa|eQuand egli à gran peza pensato	et quãt il a longuemẽt pen se
243	si se drece en estant	si se lieue en son estant	asi enesto mucho	si si diriza in istanti	si se lieuue en son estant
244|245	et demande ses armes tost|et isnel	si demande sez armes	e a cabo de Pieça demando sus armas señor dixeron los caualleros	e domanda sue armi tosto|e snello	et demande ses armes
246|247	Sire font cil|qui avec lui estoient qu en volés vos fere	Sire font cil|qui aueques lui estoient pourcoi vous voles vous armer	que conel estauan|que para	VaSire|dissono coloro|che con esso lui erano|che volete voi fare	Gire sont ceulx qͥ auec lup estoiẽt pour quop les demaudes uous ie me uueil fait il armer pour moy aller esbatre iusq̃s en ce bochel mes ie reuendray tantost
248|249	? — Je me vueil|fet il un poi aler esbatre jusqu a cel boschel	Iou me voel fait il aler esbatre iusken cel bosket	que las queria yo me Quiero armar dixo boores Porme yr a solazar a aquel montezillo	? — l' mi voglio|diss elli|andare a sbattere un poco in quello boschetto	
250	si revendrai orendroit	si reuendrai maintenant	e luego me tornare	si ritornerò oraindiritto	
251|252|253	Cil n osent son commandement refuser|si aportent ses armes|et il les prent	Et cil nosent son commandement refuser|Si li aportent sez armes	e ellos no osaron su voluntad contradeçir|e truxeronselas	E que' non osano suo comandamento rifiutare|sì gli portano sue armi ed e' le prende	et ceulx nosẽt ceffuser soncõ mandement lors lup apportent ses armes
254	Et quant il est armés	Et il sen arme	e el se armo|e desque fue armado salio porvn postigo	;|e quand egli è armato	et quãt il fust arme
255	si monte en son cheval a	puis monte sor son cheua	que estaua contrael monteçillo	e' monta in suo cavallo	
256	si se part de laiens par une posterne par devers le boschel ne ne velt	& se part de laiens|et ne veult	e no quiso	si si parte di là entro per la postierna diverso il boschello|né non vuole	si sen part de le ans par la posterne uers ung petit bosc|et ne ueult
257	que nus li face compaignie	que nus li face compaignie	que fuese conel ninguno	che nullo gli faccia compagnia	que nul lup face compagnie
258|259	Et quant il est l|poi eslongiés del chastel	Et quant il est vn petit eslongies	e desque fue vn poco alongado Metiose porvna floresta	quand egli è un poco islungato del castello	Et quãt il est ung pou eslongnie il tourne uers une fo rest grãde
260	si torne a destre vers une forest qu il voit haute	si sen torne vers vne haute forest|quil vit haute	que vido muy espesa|quanto el cauallo lo pudo lleuar	si torna a destra partita per diverso una foresta|ch elli vide alta	
261	et espesse	& espesse	e el	e spessa	et espesse
262	et s en vet al ferir des esperons;	& sen vait au ferir des esperons		si vi|si mette al fedire delli sproni	
263|264	si se fiert en la forest|et eirre tant qu il li anuite ;	et se fiert en la forest tant quil	ansi yendo oyo vna canpana tañer	e si fiede nello spesso della foresta|e va tanto|ch elli anottò	si fiert des esperons|et sen entra dedens
265|266|267	et lors escote|si ot une cloche soner|et il sot bien tantost	si anuite|Lors oy vne cloche sonner|et sot bien tantost	e luego cuido quela tañian en alguna hermita|e el fue alla	AIlora ascolta|sì ode una campana sonare ed e'sa ben tantosto	et cheuaucha|tant que la nupt uint|Il ourt une cloche sonner|si pense tãtost
268|269	que c estoit hermitages:|si s en torne cele part	que ce estoit vns hermitages|si torne cele part	e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir	che ciò è romitaggio|:|si ritorna in quelle parti	que cest unghermitage|il sẽ alla celle part
